job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S010	DOCK/Home/33. Altibase 개발자교육__19333461.md	1	17	S010-D033-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/Altibase Developer Training__22642996.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical training content; the English page has its own metadata and navigation.	none	Technical content starts at the overview.
S010	DOCK/Home/33. Altibase 개발자교육__19333461.md	19	28	S010-D033-U002	overview_support	Developer programming guide purpose and technical support contacts	Altibase; developer; support.altibase.com; 02-2082-1114	arch/Home/Altibase Developer Training__22642996.md	19	covered	No English change required.	English says it is a basic programming guide for developers using Altibase and preserves support portal and support center contact.	none	S010 direct inspection.
S010	DOCK/Home/33. Altibase 개발자교육__19333461.md	30	34	S010-D033-U003	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual-property notice	legal disclaimer; roadmap; intellectual property	arch/Home/Altibase Developer Training__22642996.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change developer-training technical semantics.	none	Handled consistently with earlier semantic audit jobs.
S010	DOCK/Home/33. Altibase 개발자교육__19333461.md	36	46	S010-D033-U004	attachment	Training page says source is based on Altibase v5 and lists Altibase v7-or-later PPTX plus Altibase v5 PDF attachments	Altibase v7; Training Document #1; Altibase_개발자교육_v1.pptx; D33_ALTIBASE5_개발자교육.pdf	arch/Home/Altibase Developer Training__22642996.md	30	covered	No English change required.	English states it includes Altibase v7-or-later and legacy Altibase v5 training documents, preserves the v5 PDF URL, and separately preserves the Korean-source v7 PPTX URL.	none	Korean-source v7 PPTX URL appears under Korean Source Attachments because the English page also has its own English PPTX.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	1	17	S010-D034-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/Altibase Precompiler Guide__14647438.md; arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md; arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md; arch/Home/Altibase Precompiler Guide/3. APRE Sample Program__14647488.md; arch/Home/Altibase Precompiler Guide/4. Frequently Occurring Error Messages__22643006.md; arch/Home/Altibase Precompiler Guide/5. Considerations when converting from other DBMSs__14647506.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated TOC are not technical Precompiler content; split English pages carry their own metadata and navigation.	none	Technical content starts at the overview.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	19	40	S010-D034-U002	overview_support	Precompiler guide purpose, recommended prerequisite documents, test environment, and support contacts	APRE*C/C++; Altibase Replication Configuration; Altibase Replication Constraints; APRE*C/C++ New Features; APRE(SES)*C/C++ makefile; Altibase version 6 or later; Linux 2.6.32-504.el6.x86_64; support.altibase.com; 02-2082-1114	arch/Home/Altibase Precompiler Guide__14647438.md	17	covered	No English change required.	English overview preserves the APRE*C/C++ development purpose, source-conversion reference, four prerequisite documents, Altibase version 6 or later Linux test environment, and support contacts.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	42	46	S010-D034-U003	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual-property notice	legal disclaimer; roadmap; intellectual property	arch/Home/Altibase Precompiler Guide__14647438.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change APRE technical semantics.	none	Handled consistently with earlier semantic audit jobs.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	48	52	S010-D034-U004	section_intro	Basic development considerations introduce performance, thread, and unsupported-item topics	Altibase Precompiler; performance; threads; unsupported items	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	19	covered	No English change required.	English introduces the same prior considerations before program development.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	54	67	S010-D034-U005	performance	Prepare/Execute minimization table and communication-cost explanation	Prepare/Execute; Direct-Execute; 0.0008.43sec; 0.0005.55sec; application server; DBMS server	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	23	covered	No English change required.	English preserves the simple Insert performance table and the warning that benefit depends on query complexity, load, equipment, and reduced prepare communication cost.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	68	85	S010-D034-U006	performance_sql	Execution plan command, iSQL prompt meaning, Windows tools, sample PLAN output, and index-scan CPU tuning guidance	ALTER SESSION SET EXPLAIN PLAN = on; $ALTIBASE_HOME/bin/isql; Orange for Altibase; DBeaver; PROJECT; SCAN; __SYS_IDX_ID_102; ACCESS	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	35	covered	No English change required.	English preserves the iSQL command, tool references, sample plan output, and guidance to reduce access cost with appropriate index scans to reduce CPU load.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	87	99	S010-D034-U007	thread_warning	One connection is not thread-safe without user concurrency control; lists possible errors	connection object; concurrency control; Invalid request to process the SQL statement; Communication link failure; Connection does not exist	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	54	covered	No English change required.	English warns that connection objects are not protected across threads and preserves the five possible error messages.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	101	115	S010-D034-U008	host_variable	Char host variables need +1 byte unless -n is used; parameter marker is ? and host variables require colon	char C1 [10 + 1]; -n; ?; sprintf; colon; :	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	66	covered	No English change required.	English preserves null-padding +1 byte, -n caveat, ? parameter marker, sample sprintf SQL, and colon requirement.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	117	131	S010-D034-U009	error_checking	Error checks should be inserted at every EXEC SQL stage, including Cursor Prepare/Declare; lists cursor errors	SQLCA; EXEC SQL; Cursor Prepare; Cursor Declare; The statement does not exist; cursor must be opened; cursor does not exist	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	80	covered	No English change required.	English preserves the mandatory error-checking recommendation and cursor Prepare/Declare rationale with the three error messages.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	133	148	S010-D034-U010	error_checking_table	Error-check variables and sample sqlca.sqlcode check	SQLCODE; sqlca.sqlcode; SQLSTATE; -69720; 08S01; EXEC SQL OPEN DEPT_CUR; fprintf	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	92	covered	No English change required.	English preserves the variable table, recommends sqlca.sqlcode for checks and SQLCODE for debug logs, and keeps the OPEN DEPT_CUR sample.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	150	159	S010-D034-U011	error_code_table	manual.txt and predefined SQL status values	$ALTIBASE_HOME/msg/manual.txt; SQL_ERROR; SQL_SUCCESS; SQL_SUCCESS_WITH_INFO; SES_DUPKEY_ERR; SQL_NO_DATA; SQL_INVALID_HANDLE	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	111	covered	No English change required.	English preserves manual.txt, the conversion caveat, and all predefined values with their code meanings.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	161	186	S010-D034-U012	commit_mode	Auto-Commit default, AUTO_COMMIT property/program switch, explicit commit/rollback, LOB non-autocommit requirement, and LOB errors	AUTO_COMMIT = 1; EXEC SQL AUTOCOMMIT OFF; LOB; Connection is in autocommit mode; LobLocator can not span the transaction	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	122	covered	No English change required.	English preserves Auto-Commit behavior, configuration and program switch, explicit Commit/Rollback requirement, Altibase v5 SELECT exception, LOB errors, and lock/resource warning.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	188	209	S010-D034-U013	signal_warning	Altibase client library is not safe during system signal handling; SIGPIPE must be handled without calling library functions inside handler	SIGPIPE; signal(SIGPIPE, SIG_IGN); EXEC SQL CONNECT; EXEC SQL DISCONNECT	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	147	covered	No English change required.	English preserves the SIGPIPE termination scenario, prohibition on calling Altibase client-library functions inside signal processing, and the signal-handling example.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	211	220	S010-D034-U014	unsupported_items	Unsupported dynamic method 4, context syntax, procedure typeset/ref-cursor/array result sets, and system signal safety	Dynamic Method4; Context; Procedure typeset; Ref-Cursor; array-form result sets; system signal	arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md	168	covered	No English change required.	English preserves all four unsupported-item bullets.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	222	247	S010-D034-U015	apre_usage	APRE*C/C++ executable is apre, sources use .sc, sample apre command creates C/C++ output, and -t c is used for C output	apre; .sc; apre -mt -t cpp connect1.sc; Release Version 6.3.1.5.6; connect1.cpp; -t c	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	21	covered	No English change required.	English preserves APRE naming, .sc extension, command/output example, Makefile reference, and -t c alternative.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	249	271	S010-D034-U016	makefile_basic	Header/library locations, -lapre -lodbccli, sample connect1 Makefile, system libraries, altibase_env.mk, and C++ system library warning	$ALTIBASE_HOME/include; $ALTIBASE_HOME/lib; -lapre; -lodbccli; connect1.sc; altibase_env.mk; LIBS	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	42	covered	No English change required.	English preserves the header and library locations, required library options, sample Makefile, altibase_env.mk LIBS reference, and C compiler/C++ library compatibility warning.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	273	302	S010-D034-U017	host_variables	Host variable definition, pre-5.3.3 declaration restriction, 5.3.3+ parse full support, and CAST examples	Altibase v5.3.3; EXEC SQL BEGIN DECLARE SECTION; apre -parse full; H_TODAY; CAST; DUAL; T1	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	64	covered	No English change required.	English preserves pre-5.3.3 declaration rules, parse full behavior, TO_CHAR sample, and CAST examples for target-clause host variables.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	304	321	S010-D034-U018	sqlca_structure	SQLCA structure table, sqlerrd[2] meaning, and no need to redefine/include values	sqlca.sqlcode; SQL_SUCCESS; SQL_SUCCESS_WITH_INFO; SQL_NO_DATA; sqlca.sqlerrm.sqlerrmc; sqlca.sqlerrd[2]; SQLCODE; SQLSTATE	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	93	covered	No English change required.	English preserves all SQLCA table entries and the note that values are already defined during precompile.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	323	357	S010-D034-U019	connect_example	Connect example uses direct server IP/PORT and host variables usr/pwd/opt	DSN=127.0.0.1; PORT_NO=20300; CONNTYPE=1; EXEC SQL CONNECT; sys; manager; SQLCODE	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	110	covered	No English change required.	English preserves direct thread connection explanation and the host-variable connect example.	none	S010 direct inspection.
S010	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	359	371	S010-D034-U020	connection_type	CONNTYPE values 1/2/3 and IPC_CHANNEL_COUNT restart/kernel prerequisite	CONNTYPE=1; CONNTYPE=2; CONNTYPE=3; TCP/IP; unix domain; IPC; IPC_CHANNEL_COUNT; altibase.properties	arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md	144	covered	No English change required.	English preserves the connection-type table and local-host, performance, DB restart, and IPC kernel-setting caveats.	none	S010 direct inspection.
