job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S032	semantic-coverage/matrices/S001-audit-method-and-baseline.tsv	1	1	S032-M001	matrix_aggregate	S001 baseline matrix is header-only by design and has no product semantic-unit scope.	S001; rows=0; unresolved=0	semantic-coverage/notes/S001-audit-method-and-baseline.md	1	not_applicable	Validated header-only baseline matrix during aggregate closure.	Rows: 0; status distribution: header-only; unresolved rows: 0.	none	S032 aggregate closure; S001 created method and baseline evidence only.
S032	semantic-coverage/matrices/S002-mapping-inventory-and-unit-matrix-scaffold.tsv	1	1	S032-M002	matrix_aggregate	S002 mapping scaffold matrix is header-only by design and has no product semantic-unit scope.	S002; rows=0; unresolved=0	semantic-coverage/notes/S002-mapping-inventory-and-unit-matrix-scaffold.md	1	not_applicable	Validated header-only mapping scaffold matrix during aggregate closure.	Rows: 0; status distribution: header-only; unresolved rows: 0.	none	S032 aggregate closure; S002 created doc-mapping evidence only.
S032	semantic-coverage/matrices/S003-tech-installation-configuration-database.tsv	1	110	S032-M003	matrix_aggregate	S003 matrix aggregate has no unresolved coverage rows.	S003; rows=109; unresolved=0	semantic-coverage/notes/S003-tech-installation-configuration-database.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 109; status distribution: covered 100, not_applicable 9; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S003 note and matrix.
S032	semantic-coverage/matrices/S004-tech-platform-disk-io.tsv	1	107	S032-M004	matrix_aggregate	S004 matrix aggregate has no unresolved coverage rows.	S004; rows=106; unresolved=0	semantic-coverage/notes/S004-tech-platform-disk-io.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 106; status distribution: covered 91, not_applicable 15; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S004 note and matrix.
S032	semantic-coverage/matrices/S005-tech-operations-startup-resources.tsv	1	110	S032-M005	matrix_aggregate	S005 matrix aggregate has no unresolved coverage rows.	S005; rows=109; unresolved=0	semantic-coverage/notes/S005-tech-operations-startup-resources.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 109; status distribution: covered 97, not_applicable 8, source_limitation 4; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S005 note and matrix.
S032	semantic-coverage/matrices/S006-tech-monitoring-queries.tsv	1	114	S032-M006	matrix_aggregate	S006 matrix aggregate has no unresolved coverage rows.	S006; rows=113; unresolved=0	semantic-coverage/notes/S006-tech-monitoring-queries.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 113; status distribution: covered 111, not_applicable 2; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S006 note and matrix.
S032	semantic-coverage/matrices/S007-tech-cpu-memory-diagnostics.tsv	1	73	S032-M007	matrix_aggregate	S007 matrix aggregate has no unresolved coverage rows.	S007; rows=72; unresolved=0	semantic-coverage/notes/S007-tech-cpu-memory-diagnostics.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 72; status distribution: covered 68, not_applicable 4; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S007 note and matrix.
S032	semantic-coverage/matrices/S008-tech-replication.tsv	1	60	S032-M008	matrix_aggregate	S008 matrix aggregate has no unresolved coverage rows.	S008; rows=59; unresolved=0	semantic-coverage/notes/S008-tech-replication.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 59; status distribution: covered 55, not_applicable 4; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S008 note and matrix.
S032	semantic-coverage/matrices/S009-tech-backup-recovery.tsv	1	73	S032-M009	matrix_aggregate	S009 matrix aggregate has no unresolved coverage rows.	S009; rows=72; unresolved=0	semantic-coverage/notes/S009-tech-backup-recovery.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 72; status distribution: covered 69, not_applicable 2, source_limitation 1; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S009 note and matrix.
S032	semantic-coverage/matrices/S010-tech-c-cpp-apre-precompiler.tsv	1	97	S032-M010	matrix_aggregate	S010 matrix aggregate has no unresolved coverage rows.	S010; rows=96; unresolved=0	semantic-coverage/notes/S010-tech-c-cpp-apre-precompiler.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 96; status distribution: covered 87, not_applicable 8, source_limitation 1; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S010 note and matrix.
S032	semantic-coverage/matrices/S011-tech-client-apis.tsv	1	111	S032-M011	matrix_aggregate	S011 matrix aggregate has no unresolved coverage rows.	S011; rows=110; unresolved=0	semantic-coverage/notes/S011-tech-client-apis.md	1	covered	Validated matrix shape, statuses, and unresolved-status closure.	Rows: 110; status distribution: added 1, covered 99, not_applicable 10; unresolved rows: 0.	none	S032 aggregate closure; direct product-source inspection evidence remains in the S011 note and matrix.
