id	status	kind	title	goal
J001	Done	docs	Baseline inventory and mapping	Confirm requirements, current git state, document counts, Korean-English mappings, FAQ category mappings, and attachment inventory before content review.
J002	Done	docs	Technical docs: installation and platform setup	Compare Korean DOCK installation, platform setup, database creation, quick start, installation troubleshooting, and Linux/Unix setup documents against English arch documents, then update English from Korean where needed.
J003	Done	docs	Technical docs: operations and administration	Compare Korean DOCK configuration, operation, startup/shutdown, system resource, memory, CPU, monitoring, and OS utility documents against English arch documents, then update English from Korean where needed.
J004	Done	docs	Technical docs: replication, backup, and recovery	Compare Korean DOCK replication, replication constraints, backup policy, failure response, and recovery-related documents against English arch documents, then update English from Korean where needed.
J005	Done	docs	Technical docs: development and API integrations	Compare Korean DOCK developer, precompiler, APRE, Java, ODBC, ADO.NET, Spring, iBATIS, MyBatis, Hibernate, PHP, WAS integration, and client tool documents against English arch documents, then update English from Korean where needed.
J006	Done	docs	Technical docs: SQL, tuning, migration, conversion, and tools	Compare Korean DOCK development guide, SQL tuning, Oracle/MSSQL conversion, data migration, Docker, GeoServer, SQuirrel, VC guides, and Migration Center documents against English arch documents, then update English from Korean where needed.
J007	Done	docs	FAQ docs: installation, operation, and management	Compare Korean faq categories 01 and 02 against the corresponding FAQE core categories, then update English from Korean where needed.
J008	Done	docs	FAQ docs: replication, backup, SQL, stored procedures, and development API	Compare Korean faq categories 03, 04, 05, 06, and 07 against the corresponding FAQE core categories, then update English from Korean where needed.
J009	ToDo	docs	FAQ docs: monitoring, error messages, utilities, others, and general	Compare Korean faq categories 08, 09, 11, 12, and 13 against the corresponding FAQE core categories, then update English from Korean where needed.
J010	ToDo	docs	Attachment and source-link coverage	Recheck all Korean document-format attachment links and important source references against English counterparts; update English documents and manifest where needed.
J011	ToDo	docs	English quality and LLM-readability pass	Review updated English documents for technical English quality, terminology consistency, LLM searchability, and preservation of non-translatable identifiers; make scoped improvements without changing meaning.
J012	ToDo	docs	Final coverage validation and review report	Run final coverage checks, JSON/diff validation, document counts, and update the review report with all changes, remaining risks, and evidence.
J013	ToDo	docs	LLM reference handoff package plan	Create or update the handoff plan for consolidating English documents into GPTs/Codex/LLM reference documents, including topic groups, source paths, and multilingual terminology rules.
