job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	1	17	S007-D062-U001	metadata	front matter, source URL, updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Altibase CPU Overload Analysis Guide__14647581.md	1	not_applicable	Export metadata and generated TOC are not technical diagnostic source content; split English targets keep their own metadata.	English parent and child pages preserve their own source metadata and normalized navigation.	none	Technical content starts at the overview.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	19	23	S007-D062-U002	overview	CPU load comes from User and Sys/Kernel work; Altibase CPU can come from query processing, communication, replication, data files, and disk I/O	User; Sys/Kernel; transaction; replication; disk I/O	arch/Home/Altibase CPU Overload Analysis Guide__14647581.md	17	covered	No English change required.	English overview preserves user/kernel CPU causes, Altibase query/transaction processing, client communication, replication, data-file disk I/O, and the document purpose.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	25	33	S007-D062-U003	reference_environment	Recommended prior documents and test environment	Altibase Development Guide; Altibase SQL Tuning Guide; Altibase Monitoring Query Guide; Altibase 6 or later; Linux 2.6.32-504.el6.x86_64	arch/Home/Altibase CPU Overload Analysis Guide__14647581.md	25	covered	No English change required.	English parent lists the three prerequisite guides and preserves the Altibase version 6 or later and Linux test environment.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	34	43	S007-D062-U004	boilerplate	Support portal, support center, legal disclaimer, product roadmap, and IP notices	support.altibase.com; 02-2082-1114	arch/Home/Altibase CPU Overload Analysis Guide__14647581.md	36	not_applicable	Contact and legal boilerplate do not alter technical CPU diagnostic semantics.	English parent preserves support contact details; legal disclaimer text is not required for semantic diagnostic coverage.	none	Handled consistently with prior semantic audit jobs.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	45	49	S007-D062-U005	heading_paragraph	CPU overload analysis scope during service delays	Altibase CPU overload; service delay	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	21	covered	No English change required.	English routine checklist page states that service delays can occur from sudden CPU overload and explains the checks and actions for repeated Altibase CPU overload.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	51	55	S007-D062-U006	heading_paragraph	Routine checklist purpose and OS-command requirement for CPU usage	CPU usage; OS command	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	23	covered	No English change required.	English preserves the need for history management and states that Altibase does not provide its own CPU usage rate, so OS commands must be used.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	57	59	S007-D062-U007	table_row	Hourly/daily CPU utilization collection	CPU utilization; OS	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	27	covered	No English change required.	English table preserves periodic OS-based CPU utilization collection.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	60	60	S007-D062-U008	table_sql	Transaction throughput collection using V$SYSSTAT execute/prepare counts	V$SYSSTAT; execute success count; prepare success count; prepare failure count	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	30	covered	No English change required.	English table preserves the transaction-throughput collection row and the exact `V$SYSSTAT` SQL with execute and prepare count names.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	61	61	S007-D062-U009	table_sql	Service thread and session increase check	V$SERVICE_THREAD; V$SESSION; THREAD; SESSION	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	31	covered	No English change required.	English table preserves the service-thread/session increase pattern and the two count queries.	none	S007 direct inspection.
S007	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	63	65	S007-D062-U010	paragraph_formula	Regular interval file logging and cumulative EXECUTE COUNT calculation	gettps.sh; EXECUTE COUNT; V$SYSSTAT; recent value - previous value	arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md	33	covered	No English change required.	English preserves interval collection with a shell script and explains that `EXECUTE COUNT` is cumulative, so the unit-time increase is `(recent value - previous value)`.	none	S007 direct inspection.
