job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	1	11	S018-D067-U001	metadata	--- title: "67. Altibase 도커 가이드" page_id: "14057660" source_url: "https://docs.altibase.com/pages/viewpage.action?pageId=14057660" updated_at: "2023-11-13T14:54:17.000+0900"	14057660; DOCK; 2023-11-13; Altibase Docker	arch/Home/Altibase Docker Guide__14647741.md	13	not_applicable	Excluded from technical coverage.	English target has its own translated front matter.	none	Export metadata is not technical content.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	13	13	S018-D067-U002	heading	# 67. Altibase 도커 가이드	Altibase; Docker	arch/Home/Altibase Docker Guide__14647741.md	13	covered	No English change required.	# Altibase Docker Guide	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	14	14	S018-D067-U003	source_reference	Source: https://docs.altibase.com/pages/viewpage.action?pageId=14057660	https://docs.altibase.com/pages/viewpage.action?pageId=14057660; 14057660	arch/Home/Altibase Docker Guide__14647741.md	14	not_applicable	Excluded from technical coverage.	English target preserves its own source metadata.	none	Export source metadata is not technical content.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	15	15	S018-D067-U004	metadata	Updated: 2023-11-13T14:54:17.000+0900	2023-11-13T14:54:17.000+0900	arch/Home/Altibase Docker Guide__14647741.md	15	not_applicable	Excluded from technical coverage.	English target preserves its own update metadata.	none	Export update metadata is not technical content.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	17	17	S018-D067-U005	navigation	- [개요] ... [참고]	개요; 도커 개요; 도커 설치; Altibase 도커 이미지; 컨테이너; 참고	arch/Home/Altibase Docker Guide/3. Altibase Docker Image__14647754.md	17	not_applicable	Excluded from technical coverage.	English targets have generated navigation across translated split pages.	none	Generated Confluence table of contents/navigation.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	19	19	S018-D067-U006	heading	# 개요	overview	arch/Home/Altibase Docker Guide__14647741.md	19	covered	No English change required.	# Overview	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	23	25	S018-D067-U007	paragraph	도커 이미지를 이용하여 Altibase 컨테이너를 생성하여 서비스... 도커 19.03.2 기준...	Altibase container; Docker image; Docker 19.03.2	arch/Home/Altibase Docker Guide__14647741.md	23	covered	No English change required.	This document describes how to create and service an Altibase container... Docker version 19.03.2...	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	27	28	S018-D067-U008	version_condition	- Altibase 7.1.1 이상 - Docker 19.03.2 이상	Altibase 7.1.1; Docker 19.03.2	arch/Home/Altibase Docker Guide__14647741.md	27	covered	No English change required.	- Altibase version 7.1.1 and later - Docker version 19.03.2 or later	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	30	33	S018-D067-U009	support	기술지원포털... http://support.altibase.com ... 기술지원센터 : 02-2082-1114	http://support.altibase.com; Technical Knowledge; Q&A; 02-2082-1114	arch/Home/Altibase Docker Guide__14647741.md	30	covered	No English change required.	Technical support portal... http://support.altibase.com ... Technical support center: 02-2082-1114	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	35	39	S018-D067-U010	boilerplate	정보 제공... 사전 예고 없이 변경... 특허권, 상표권, 저작권...	Altibase; liability; intellectual property	arch/Home/Altibase Docker Guide__14647741.md	35	not_applicable	Excluded from technical coverage.	English target preserves equivalent legal/support boilerplate.	none	Nontechnical legal boilerplate recorded explicitly.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	41	41	S018-D067-U011	heading	# 도커 개요	Docker overview	arch/Home/Altibase Docker Guide/1. Overview of Docker__14647745.md	13	covered	No English change required.	# 1. Overview of Docker	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	45	45	S018-D067-U012	paragraph	Docker.Inc 컨테이너 기반 오픈소스 가상 플랫폼... Cgroups, Namespace... guest OS 필요없음	Docker.Inc; Cgroups; Namespace; Linux kernel; guest OS; CPU; memory	arch/Home/Altibase Docker Guide/1. Overview of Docker__14647745.md	19	covered	No English change required.	Docker is a container-based open-source virtual platform... Cgroups and Namespace... does not require a guest OS...	none	S018 direct inspection.
S018	DOCK/Home/67. Altibase 도커 가이드__14057660.md	47	49	S018-D067-U013	image_reference	도커와 VM 차이 이미지; 자료출처 https://www.docker.com/resources/what-container	VM; https://www.docker.com/resources/what-container	arch/Home/Altibase Docker Guide/1. Overview of Docker__14647745.md	25	covered	No English change required.	Comparison of Docker and Virtual Machine Structure... Reference source: https://www.docker.com/resources/what-container	none	Image URL differs by English export path; reference URL and image semantics preserved.
