job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	1	17	S016-D036-U001	metadata	--- title: "36. Altibase 개발가이드" page_id: "7341274" space_key: "DOCK" space_name: "Technical Documents(한국어)" source_url: "https://docs.altibase.com/pages/viewpage.action?pageId=7341274" updated_at: "2025-10-02T…	front matter; source_url; generated TOC	arch/Home/Altibase Development Guide__14058519.md	1	not_applicable	Excluded from technical coverage.	English target has its own metadata and split-page navigation.	none	Export metadata/generated navigation is not technical content.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	23	27	S016-D036-U002	overview	본 문서는 Altibase를 이용한 개발환경에서 개발자가 고려해야 할 사항들을 설명합니다. 특정 개발환경 별 참고 문서는 각 개발환경 별로 작성된 기술문서를 참고하도록 합니다. 본 문서에는 일반적인 사항을 기술하며 문서 후반에는 ALTIBASE 에러메시지들에 대하여 설명하고 있습니다.	Altibase development considerations; specific environment docs; error messages	arch/Home/Altibase Development Guide__14058519.md	21	covered	No English change required.	This technical document describes considerations for developers using Altibase.	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	31	31	S016-D036-U003	reference_link	1. 『[Altibase 디스크I/O 병목을 고려한 볼륨구성 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=11698408)』	Altibase Disk I/O Bottleneck Volume Configuration Guide; pageId=11698408	arch/Home/Altibase Development Guide__14058519.md	29	covered	No English change required.	1. [Altibase Disk I/O Bottleneck Volume Configuration Guide](https://docs.altibase.com/pages/viewpage.action?pageId=11698408)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	33	33	S016-D036-U004	reference_link	2. 『[Altibase 백업정책 결정을 위한 고려사항](https://docs.altibase.com/pages/viewpage.action?pageId=14057586)』	Considerations for Altibase Backup Policy; pageId=14057586	arch/Home/Altibase Development Guide__14058519.md	30	covered	No English change required.	2. [Considerations for Altibase Backup Policy](https://docs.altibase.com/pages/viewpage.action?pageId=14057586)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	35	35	S016-D036-U005	reference_link	3. 『[Altibase 이중화 구성 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=13828098)』	Altibase Replication Configuration Guide; pageId=13828098	arch/Home/Altibase Development Guide__14058519.md	31	covered	No English change required.	3. [Altibase Replication Configuration Guide](https://docs.altibase.com/pages/viewpage.action?pageId=13828098)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	37	37	S016-D036-U006	reference_link	4. 『[Altibase 이중화 제약사항 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=19333729)』	Altibase Replication Constraints Guide; pageId=19333729	arch/Home/Altibase Development Guide__14058519.md	32	covered	No English change required.	4. [Altibase Replication Constraints Guide](https://docs.altibase.com/pages/viewpage.action?pageId=19333729)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	39	39	S016-D036-U007	reference_link	5. 『[Altibase 운영을 위한 시스템 리소스 용량산정 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=14057887)』	System Data Capacity Estimation Guide for Altibase Operations; pageId=14057887	arch/Home/Altibase Development Guide__14058519.md	33	covered	No English change required.	5. [System Data Capacity Estimation Guide for Altibase Operations](https://docs.altibase.com/pages/viewpage.action?pageId=14057887)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	41	41	S016-D036-U008	reference_link	6. 『[Altibase Precompiler 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=11698385)』	Altibase Precompiler Guide; pageId=11698385	arch/Home/Altibase Development Guide__14058519.md	34	covered	No English change required.	6. [Altibase Precompiler Guide](https://docs.altibase.com/pages/viewpage.action?pageId=11698385)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	43	43	S016-D036-U009	reference_link	7. 『[Altibase SQL 튜닝 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=19333563)』	Altibase SQL Tuning Guide; pageId=19333563	arch/Home/Altibase Development Guide__14058519.md	35	covered	No English change required.	7. [Altibase SQL Tuning Guide](https://docs.altibase.com/pages/viewpage.action?pageId=19333563)	none	S016 direct inspection.
S016	DOCK/Home/36. Altibase 개발가이드__7341274.md	45	45	S016-D036-U010	reference_link	8. 『[JAVA 개발 가이드](https://docs.altibase.com/pages/viewpage.action?pageId=14057500)』	JAVA Developer's Guide; pageId=14057500	arch/Home/Altibase Development Guide__14058519.md	36	covered	No English change required.	8. [JAVA Developer's Guide](https://docs.altibase.com/pages/viewpage.action?pageId=14057500)	none	S016 direct inspection.
