job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	1	17	S011-D032-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/Altibase and unixODBC Integration Guide__14647413.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical client API content.	none	English target has its own metadata and navigation.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	19	40	S011-D032-U002	overview_support	Purpose, unixODBC basis, native compiler assumption, test environment, support contacts	unixODBC; http://www.unixodbc.org/; Altibase 6.3.1; Linux 2.6.32-504.el6.x86_64; unixODBC-2.3.2; support.altibase.com; 02-2082-1114	arch/Home/Altibase and unixODBC Integration Guide__14647413.md	17	covered	No English change required.	English overview preserves the Unix ODBC integration purpose, unixODBC URL, native compiler assumption, user-support boundary, test environment, and support contacts.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	42	46	S011-D032-U003	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual-property notice	legal disclaimer; roadmap; intellectual property	arch/Home/Altibase and unixODBC Integration Guide__14647413.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change unixODBC integration semantics.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	48	56	S011-D032-U004	installation_intro	unixODBC Manager binary must be built for the platform; native compiler assumed; 32/64-bit compile options still matter	unixODBC Manager; native compiler; gcc/g++; 32bit; 64bit	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	19	covered	No English change required.	English installation page preserves the platform-build requirement, native compiler assumption, gcc/g++ note, and 32-bit/64-bit caution.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	58	71	S011-D032-U005	download	Download unixODBC from unixodbc.org and source package is unixODBC-2.3.2.tar.gz	http://www.unixodbc.org; Download; unixODBC-2.3.2.tar.gz	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	21	covered	No English change required.	English preserves the unixODBC download URL, click path, tarball filename, and image reference.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	73	87	S011-D032-U006	command	Decompress unixODBC source under an install directory	mkdir install; cd install; gzip -dc unixODBC*.gz | tar xvf -	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	36	covered	No English change required.	English preserves the decompression procedure and command block.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	89	104	S011-D032-U007	driver_bit_check	Check ODBC driver file bits and explain that ul32/ul64 indicate SQLLEN size, not file bit	file $ALTIBASE_HOME/lib/libaltibase_odbc*; libaltibase_odbc-64bit-ul32.so; libaltibase_odbc-64bit-ul64.so; SQLLEN=4byte; SQLLEN=8byte; ELF 64-bit; ELF 32-bit	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	52	covered	No English change required.	English preserves the file command, sample output, ul32/ul64 meaning, and bit matching guidance.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	105	125	S011-D032-U008	sql_len_warning	Set SQLLEN/SQLULEN size; strongly recommend BUILD_LEGACY_64_BIT_MODE=1 and SQLLEN 32-bit to avoid PHP/Python and ODBC function issues	SQLLEN; SQLULEN; SIZEOF_LONG_INT; BUILD_LEGACY_64_BIT_MODE=1; SQLColAttribute; SQLfetch(); SQLMoreResult(); sqltypes.h	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	71	covered	No English change required.	English preserves the SQLLEN/SQLULEN size rule, compile flag, PHP/Python SQLColAttribute effect, Altibase sqltypes.h behavior, and SQLfetch/SQLMoreResult mismatch risk.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	126	145	S011-D032-U009	compile_environment	Select 32-bit or 64-bit unixODBC compile bit type and platform compiler variables	CFLAGS; LDFLAGS; CC; CXX; AIX; HP-UX; SUN; OBJECT_MODE=64; +DD64 -DBUILD_REAL_64_BIT_MODE; LD_LIBRARY_PATH_64; /usr/vac/bin/xlc; /opt/aCC/bin/aCC; /opt/SUNWspro/bin/cc; -q64; -xarch=v9	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	95	covered	No English change required.	English preserves generic compile variables and the AIX, HP, and SUN platform environment table.	none	S011 direct inspection.
S011	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	146	154	S011-D032-U010	command	Linux 64-bit OS example for compiling unixODBC as 32-bit with SQLLEN 4 bytes	"export CFLAGS=""-m32 -DBUILD_LEGACY_64_BIT_MODE=1""; export LDFLAGS=-m32; export CXXFLAGS=-m32"	arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md	120	covered	No English change required.	English preserves the Linux 64-bit to 32-bit compile example and SQLLEN/executable-bit result.	none	S011 direct inspection.
