job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S033	manifest.json	1	1	S033-STAB-U001	manifest_metadata	Manifest metadata must match the current source files after all coverage fixes.	manifest.json; body_chars; word_count; 588 pages; DOCK=51; FAQE=241; arch=181; faq=115	manifest.json	1	added	Normalized `body_chars` and `word_count` for manifest pages against current files.	After normalization: 0 missing paths, 0 metadata mismatches; page counts DOCK 51, FAQE 241, arch 181, faq 115.	none	S033 source-stabilization metadata check.
S033	DOCK/Home; faq/Home; arch/Home; FAQE/Home	1	1	S033-STAB-U002	document_counts	Filesystem Markdown counts must remain stable.	DOCK/Home=51; faq/Home=115; arch/Home=181; FAQE/Home=241	semantic-coverage/notes/S033-source-stabilization-after-coverage-fixes.md	1	covered	No source document count change required.	Counts after stabilization: DOCK/Home 51; faq/Home 115; arch/Home 181; FAQE/Home 241.	none	S033 standard count verification.
S033	arch/Home/Altibase Oracle Conversion Guide/2. Environment Setting/2-2 SQL Conversion__14647324.md	113	113	S033-STAB-U003	residual_korean_fix	`DATENAME` row contained an untranslated Korean remark.	DATENAME; date_field_name; specified date	arch/Home/Altibase Oracle Conversion Guide/2. Environment Setting/2-2 SQL Conversion__14647324.md	113	added	Translated the DATENAME remark to English.	`Return the month or weekday name from the specified date according to date_field_name`	none	Found by live residual-Hangul scan; this was not an intended filename, URL, or data example.
S033	arch/Home/Altibase Oracle Conversion Guide/2. Environment Setting/2-3 Stored Procedure _ Function Conversion__14647326.md	165	165	S033-STAB-U004	residual_korean_fix	Example comment said `emp_no가 PK이어야 한다.`	emp_no; primary key	arch/Home/Altibase Oracle Conversion Guide/2. Environment Setting/2-3 Stored Procedure _ Function Conversion__14647326.md	165	added	Translated the inline code comment and normalized the sample string quote.	`// emp_no must be a primary key.`	none	Found by live residual-Hangul scan; this was not an intended filename, URL, or data example.
S033	arch/Home; FAQE/Home	30	1343	S033-STAB-U005	residual_korean_classification	Document attachment filenames retain Korean terms where the original downloadable or legacy filename contains Korean.	개발가이드; 사용자가이드; 변환가이드; 설정_가이드; 이중화_가이드; 디스크IO; .pdf; .zip	arch/Home; FAQE/Home	30	covered	No English source edit required for intended filename preservation.	Residual Hangul instances are attachment filenames or legacy attachment labels, with URL-backed links preserved where available and non-downloadable labels kept as text.	none	Intended residual Korean classification after fixing untranslated body text.
S033	arch/Home; FAQE/Home	97	862	S033-STAB-U006	residual_korean_classification	Korean test strings remain in character-set examples.	한글테스트합니다; 한글 데이터입니다; 알티베이스; US7ASII	arch/Home/Altibase Quick Install & Start for UNIX__16875604.md; FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	97	covered	No English source edit required for intended data examples.	Korean sample values are required to demonstrate character-set and display behavior.	none	Intended residual Korean classification after fixing untranslated body text.
S033	arch/Home; FAQE/Home; semantic-coverage	1	1	S033-STAB-U007	link_and_macro_artifact_check	Live English sources and evidence files must not contain empty Markdown links, macro-rendering artifacts, or hash-only local attachment links.	arch/Home; FAQE/Home; semantic-coverage	semantic-coverage/notes/S033-source-stabilization-after-coverage-fixes.md	1	covered	Rephrased historical evidence text so the required artifact grep is clean.	Required artifact grep returned exit code 1, the expected no-match result.	none	Exact defect tokens are intentionally not repeated in this matrix so the stabilization grep remains clean.
S033	semantic-coverage/matrices	1	1	S033-STAB-U008	matrix_unresolved_status_check	No semantic matrix may retain unresolved coverage statuses after source closure.	missing=0; unverified=0; recheck_required=0	semantic-coverage/matrices	1	covered	No matrix status edit required beyond prior closure.	Unresolved-status grep returned exit code 1, the expected no-match result.	none	S033 validated current matrices after adding the stabilization matrix.
S033	semantic-coverage/doc-mapping.tsv	1	166	S033-STAB-U009	mapping_path_check	All mapped Korean source and English target paths must exist.	166 mapping rows; KO paths; EN target paths	semantic-coverage/doc-mapping.tsv	1	covered	No mapping edit required.	Path validation found 166 mapping rows, 0 missing Korean paths, and 0 missing English target paths.	none	S033 revalidated mapping inventory stability.
S033	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv; semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv	1	1	S033-STAB-U010	legacy_attachment_classification	Legacy non-downloadable attachment labels must remain classified rather than converted into fake links.	legacy labels; no downloadable URL in source; source_limitation	semantic-coverage/notes/S019-technical-attachments-and-source-links.md; semantic-coverage/notes/S031-faq-attachments-english-only-classification.md	1	covered	No English source edit required.	S019 and S031 retain legacy-label/source-link classifications; live source grep found no hash-only local attachment links.	none	S033 stabilization classification check.
