path	source_class	evidence_path	allowed_phase3_use	risk	notes
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F01-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/01. 설치, 패치, 업그레이드/01-03. 알티베이스 클라이언트 설치 방법(ALTIBASE HDB 5.5.1 부터)__8455011.md audited by S020 with Phase 1 COMPLETE coverage.
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Server Patch Procedure on Unix and Linux__16875922.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F01-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/01. 설치, 패치, 업그레이드/01-02. Unix 및 Linux 에서 알티베이스 서버 패치 절차__8454397.md audited by S020 with Phase 1 COMPLETE coverage.
FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F01-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md audited by S020 with Phase 1 COMPLETE coverage.
FAQE/Home/01. Installation, Patch, Upgrade/What to do when installing Altibase on Windows, and it says _It has already been installed__16875943.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F01-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/01. 설치, 패치, 업그레이드/01-04. 윈도우에서 알티베이스 설치 할 때 _이미 설치가 되었다_고 합니다__8454409.md audited by S020 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Altibase Server Configuration for IPC Communication__22642933.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-09); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-09. IPC 통신을 위한 알티베이스 서버 설정__9110665.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Automatic altibase startup during OS booting in Solaris__16875996.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-14); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-14. Solaris에서 OS booting 시 자동 altibase startup__9110643.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Can PUBLIC SYNONYM be dropped__16875993.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-13); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-13. PUBLIC SYNONYM 을 삭제해도 되나요__6520939.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Can table data be saved on disk and only indexes can be created in memory__16876008.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-16); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-16. Table 데이터는 Disk 에 저장하고 인덱스만 Memory 에 생성이 가능한가요__8454455.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Database Security Checklist__22642935.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-18); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-18. 데이터베이스 보안 점검 체크리스트__6521702.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-24); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-24. 캐릭터셋 변경 방법 상세 절차__8454470.md audited by S022 with Phase 1 COMPLETE coverage.
