job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	28	28	S019-D020-U001	external_reference	URL : [https://docs.altibase.com/x/n4HW](https://docs.altibase.com/x/n4HW)	https://docs.altibase.com/x/n4HW; https://docs.altibase.com/x/n4HW	arch/Home/Altibase Configuration File Guide__22642991.md	27	covered	No English change required.	1. System Resource Capacity Planning Guide for Altibase: [https://docs.altibase.com/x/n4HW](https://docs.altibase.com/x/n4HW)	none	S019 direct link/attachment inspection across technical mapping inventory.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	30	30	S019-D020-U002	external_reference	URL : [https://docs.altibase.com/x/AgDT](https://docs.altibase.com/x/AgDT)	https://docs.altibase.com/x/AgDT; https://docs.altibase.com/x/AgDT	arch/Home/Altibase Configuration File Guide__22642991.md	28	covered	No English change required.	2. Altibase Replication Configuration Guide: [https://docs.altibase.com/x/AgDT](https://docs.altibase.com/x/AgDT)	none	S019 direct link/attachment inspection across technical mapping inventory.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	34	34	S019-D020-U003	external_reference	- 기술지원포털 : [http://support.altibase.com](http://support.altibase.com/) ▶ 기술 지식 ▶ Q&A	http://support.altibase.com; http://support.altibase.com/	arch/Home/Altibase Configuration File Guide__22642991.md	32	covered	No English change required.	- Technical support portal: [http://support.altibase.com](http://support.altibase.com/)	none	S019 direct link/attachment inspection across technical mapping inventory.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	51	51	S019-D020-U004	external_reference	URL : [http://support.altibase.com/kr/manual](http://support.altibase.com/kr/manual)	http://support.altibase.com/kr/manual; http://support.altibase.com/kr/manual	arch/Home/Altibase Configuration File Guide__22642991.md	43	covered	No English change required; English target uses the corresponding English or normalized reference.	[https://github.com/ALTIBASE/Documents/tree/master/Manuals/Altibase_7.1/eng](https://github.com/ALTIBASE/Documents/tree/master/Manuals/Altibase_7.1/eng)	none	Exact Korean URL is represented by the corresponding English/source reference where appropriate.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	149	149	S019-D020-U005	external_reference	참고 문서 『 Altibase 디스크I/O 병목을 고려한 볼륨구성 가이드 』URL : [https://docs.altibase.com/x/6ICy](https://docs.altibase.com/x/6ICy)	https://docs.altibase.com/x/6ICy; https://docs.altibase.com/x/6ICy	arch/Home/Altibase Configuration File Guide__22642991.md	139	covered	No English change required.	Reference: Configuration Guide For Minimizing Disk I/O Contention: [https://docs.altibase.com/x/6ICy](https://docs.altibase.com/x/6ICy)	none	S019 direct link/attachment inspection across technical mapping inventory.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	167	167	S019-D020-U006	external_reference	| MAX_CLIENT | 1000 | 동시에 DB에 접속할 세션의 제한이기 때문에 만일 이 값보다 더 많이 세션이 접속할 것이 예상되면 이 값을 늘린 후 Altibase 서버를 재 구동 하도록 한다.<br>참고 문서 『 동시 접속 세션 수(MAX_CLIENT) 증가 시 고려사항 』URL : [https://docs.altibase.com/x/FARw](https://docs.altibase.com/x/FARw) |	https://docs.altibase.com/x/FARw; https://docs.altibase.com/x/FARw	arch/Home/Altibase Configuration File Guide__22642991.md	157	covered	No English change required.	| MAX_CLIENT | 1000 | Because this limits the number of sessions that can connect to the DB at the same time, increase this value and restart the Altibase server if more sessions are expected.<br>Reference: Considerations when increasing...	none	S019 direct link/attachment inspection across technical mapping inventory.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	233	233	S019-D020-U007	document_attachment	2023.12 버전 : [202312_Altibase_설정_파일_가이드.pdf](https://docs.altibase.com/download/attachments/13437165/202312_Altibase_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=4&modificationDate=1702279114000&api=v2) (...	202312_Altibase_설정_파일_가이드.pdf; https://docs.altibase.com/download/attachments/13437165/202312_Altibase_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=4&modificationDate=1702279114000&api=v2	arch/Home/Altibase Configuration File Guide__22642991.md	227	covered	No English change required; URL-backed document-format link is preserved exactly in English target.	- [Korean source attachment 1 (PDF)](https://docs.altibase.com/download/attachments/13437165/202312_Altibase_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=4&modificationDate=1702279114000&api=v2)	none	Document-format extensions checked: .pdf .ppt .pptx .doc .docx .xls .xlsx .zip.
S019	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	235	235	S019-D020-U008	document_attachment	2010.03 버전 : [201003_ALTIBASE_설정_파일_가이드.pdf](https://docs.altibase.com/download/attachments/13437165/201003_ALTIBASE_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701842255000&api=v2) (...	201003_ALTIBASE_설정_파일_가이드.pdf; https://docs.altibase.com/download/attachments/13437165/201003_ALTIBASE_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701842255000&api=v2	arch/Home/Altibase Configuration File Guide__22642991.md	228	covered	No English change required; URL-backed document-format link is preserved exactly in English target.	- [Korean source attachment 2 (PDF)](https://docs.altibase.com/download/attachments/13437165/201003_ALTIBASE_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701842255000&api=v2)	none	Document-format extensions checked: .pdf .ppt .pptx .doc .docx .xls .xlsx .zip.
S019	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	35	35	S019-D021-U001	external_reference	- 기술지원포털 : [http://support.altibase.com](http://support.altibase.com/) ▶ 기술 지식 ▶ Q&A	http://support.altibase.com; http://support.altibase.com/	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md		not_applicable	No English change required; generic Korean support-portal boilerplate is not required in the English target.	Korean support portal boilerplate only; no technical procedure, attachment, or source URL content depends on this link.	nontechnical support portal boilerplate	Top-of-document technical-support boilerplate is nontechnical for KO->EN semantic coverage.
S019	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	405	405	S019-D021-U002	document_attachment	2023.12 버전 : [202312_Altibase_디스크IO_병목을_고려한_볼륨구성_가이드.pdf](https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA...	202312_Altibase_디스크IO_병목을_고려한_볼륨구성_가이드.pdf; https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1702282370000&api=v2	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	353	covered	No English change required; URL-backed document-format link is preserved exactly in English target.	- 2023.12 version: [202312_Altibase_디스크IO_병목을_고려한_볼륨구성_가이드.pdf](https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5...	none	Document-format extensions checked: .pdf .ppt .pptx .doc .docx .xls .xlsx .zip.
