job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	1	17	S014-D054-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/Spring Integration Guide for Altibase__14058410.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical Spring integration content.	none	English target has its own metadata and split-page navigation.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	19	50	S014-D054-U002	overview_support	Spring integration scope, Spring Framework 3.2.x, Altibase v6.3.1, Eclipse, related guides, support contacts	Spring Framework 3.2.x; Altibase v6.3.1; Eclipse; support.altibase.com; 02-2082-1114	arch/Home/Spring Integration Guide for Altibase__14058410.md	17	covered	No English change required.	English overview preserves scope, versions, IDE, examples, related guide list, support portal, and support center.	none	Korean self-reference to Spring guide is the English target itself.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	52	56	S014-D054-U003	boilerplate	information-only disclaimer, roadmap discretion, and intellectual-property notice	disclaimer; roadmap; intellectual property	arch/Home/Spring Integration Guide for Altibase__14058410.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change Spring integration semantics.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	58	64	S014-D054-U004	concept	Spring Framework is an open-source Enterprise Application framework and lightweight POJO container	Spring Framework; Enterprise Application; EJB; POJO; transaction management; logging; security	arch/Home/Spring Integration Guide for Altibase/1. What is Spring__14058412.md	19	covered	No English change required.	English preserves the open-source framework, lightweight container, POJO lifecycle, and module semantics.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	66	80	S014-D054-U005	list	Spring features include lightweight container, lifecycle management, IoC/DI, AOP, POJO, transaction processing, APIs	J2EE; IoC; DI; AOP; POJO; transaction processing	arch/Home/Spring Integration Guide for Altibase/1. What is Spring__14058412.md	21	covered	No English change required.	English feature list preserves all seven Korean feature items.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	82	113	S014-D054-U006	prerequisite	Spring jar and Altibase JDBC Driver prerequisites; STS and Maven setup; spring-context dependency; MyBatis appendix note	STS; Maven; spring-context; 3.2.xx.RELEASE; Altibase MyBatis Integration Guide Appendix 2	arch/Home/Spring Integration Guide for Altibase/2. Setting before Developing Spring__14058420.md	19	covered	No English change required.	English preserves Spring jar/JDBC prerequisites, STS/Maven setup, dependency example, and MyBatis appendix/patch-version notes.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	115	143	S014-D054-U007	jdbc_driver	Altibase.jar and Altibase5.jar locations, multi-version condition, driver version check, CM/CMP compatibility, latest-driver recommendation	Altibase.jar; Altibase5.jar; $ALTIBASE_HOME/lib; java –jar Altibase.jar; CMP:7.1.1; altibase -v; cm protocol version 7.1.1	arch/Home/Spring Integration Guide for Altibase/2. Setting before Developing Spring__14058420.md	49	covered	No English change required.	English preserves driver locations, Altibase5.jar version condition, both commands, CM/CMP rule, and latest-compatible-driver recommendation.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	145	161	S014-D054-U008	procedure	Eclipse project JDBC driver setup through JRE System Library and Add External JARs	Project; JRE System Library; Installed JREs; Add External JARs; Altibase.jar	arch/Home/Spring Integration Guide for Altibase/3. Setting up JDBC Driver__14058424.md	19	covered	No English change required.	English preserves the Eclipse setup sequence and screenshot context.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	163	179	S014-D054-U009	procedure	Web application JDBC driver placement alternatives and WEB-INF paths	Altibase.jar; Web_application\WEB-INF\lib; project\WebContent\WEB-INF\lib	arch/Home/Spring Integration Guide for Altibase/3. Setting up JDBC Driver__14058424.md	31	covered	No English change required.	English preserves global web-server placement, per-application placement, and both WEB-INF/lib paths.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	181	191	S014-D054-U010	configuration	Spring DataSource overview and applicationContext.xml bean configuration methods	applicationContext.xml; DriverManagerDataSource; DBCP; ConnectionPool	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	19	covered	No English change required.	English preserves DataSource bean requirement, applicationContext.xml name, and three configuration methods.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	193	206	S014-D054-U011	configuration	DriverManagerDataSource class and property rows	driverClassName; URL; username; password; org.springframework.jdbc.datasource.DriverManagerDataSource; jdbc:Altibase://IP:port_no/db_name	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	25	covered	No English change required.	English preserves the DriverManagerDataSource class and all four property rows.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	208	228	S014-D054-U012	code	DriverManagerDataSourceConnection applicationContext.xml example and required jars	DataManagerDataSourceConnection; applicationContext.xml; Altibase.jdbc.driver.AltibaseDriver; jdbc:Altibase://192.168.1.35:21129/mydb; sys; manager; Altibase.jar; spring.jar; spring-jdbc.jar; common-logging.jar	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	38	covered	No English change required.	English preserves the dataSource bean, URL, credentials, and required jar list.	none	S014 direct inspection; English uses corrected common-logging.jar spelling.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	230	255	S014-D054-U013	code	DBCP BasicDataSource setup and DBCPConnection applicationContext.xml example	org.apache.commons.dbcp.BasicDataSource; DBCPConnection; Altibase.jdbc.driver.AltibaseDriver; jdbc:Altibase://192.168.1.35:21129/mydb	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	60	covered	No English change required.	English preserves DBCP purpose, BasicDataSource class, and example bean configuration.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	257	271	S014-D054-U014	table_row	DBCP BasicDataSource property table including pool, validation, autocommit, and isolation rows	maxActive; initialSize; maxIdle; maxWait; validationQuery; select 1 from dual; defaultAutoCommit; defaultTransactionIsolation; NONE; REPEATABLE_READ; SERIALIZABLE; READ COMMITTED	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	81	covered	No English change required.	English preserves all BasicDataSource property rows and Altibase READ COMMITTED default.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	273	275	S014-D054-U015	dependency	DBCPConnection required jar list	Altibase.jar; common-logging.jar; common-dbcp.jar; common-pools.jar	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	97	covered	No English change required.	English preserves the DBCPConnection required library list.	none	S014 direct inspection.
S014	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	277	318	S014-D054-U016	configuration	AltibaseConnectionPoolDataSource setup, user not username, property table, required jars	Altibase.jdbc.driver.AltibaseConnectionPoolDataSource; URL; user; password; maxPoolSize; minPoolSize; initialPoolSize; maxIdleTime; propertyCycle; Altibase.jar; spring.jar; spring-jdbc.jar	arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md	101	covered	No English change required.	English preserves the AltibaseConnectionPoolDataSource example, driverClassName omission, user property warning, pool properties, and jar list.	none	S014 direct inspection.
