id	status	kind	title	goal
P201	Done	docs	Baseline after J013	Confirm J013 completion, git state, document counts, manifest validity, first-pass reports, and pass2 sentence-level audit boundary before editing product documentation.
P202	Done	docs	Tech audit: installation core and database creation	Sentence-level audit Korean installation guide, quick install, troubleshooting, database creation, and configuration core sections against English arch targets; update English from Korean where needed.
P203	Done	docs	Tech audit: OS platform and disk I/O setup	Sentence-level audit Korean Linux, Solaris, HPUX, AIX, and disk I/O setup documents against English arch targets; update English from Korean where needed.
P204	Done	docs	Tech audit: operations failure startup resource utilities	Sentence-level audit Korean failure response, startup/shutdown, system resource sizing, OS utility, UNIX memory, and operation-related configuration sections against English arch targets; update English from Korean where needed.
P205	Done	docs	Tech audit: monitoring queries	Sentence-level audit the Korean Altibase monitoring queries guide, including section IDs, SQL, meta tables, performance views, examples, and warnings against English arch targets; update English from Korean where needed.
P206	Done	docs	Tech audit: CPU and memory analysis	Sentence-level audit Korean CPU overload and memory usage increase analysis guides against English arch targets; update English from Korean where needed.
P207	Done	docs	Tech audit: replication configuration and constraints	Sentence-level audit Korean replication configuration and replication constraints guides against English arch targets; update English from Korean where needed.
P208	Done	docs	Tech audit: backup recovery and failure recovery	Sentence-level audit Korean backup policy, failure response recovery sections, and startup/shutdown recovery-related sections against English arch targets; update English from Korean where needed.
P209	Done	docs	Tech audit: C C++ precompiler APRE developer basics	Sentence-level audit Korean developer training, Precompiler, APRE Makefile, and APRE C/C++ upgrade documents against English arch targets; update English from Korean where needed.
P210	Done	docs	Tech audit: Java ODBC ADO.NET PHP client APIs	Sentence-level audit Korean Java, unixODBC, Windows ODBC, ADO.NET, and PHP documents against English arch targets; update English from Korean where needed.
P211	Done	docs	Tech audit: WAS and framework integrations	Sentence-level audit Korean TOMCAT, JEUS, JBoss, WebLogic, WebSphere, Spring, iBATIS, MyBatis, and Hibernate integration documents against English arch targets; update English from Korean where needed.
P212	Done	docs	Tech audit: SQL tuning development and Oracle comparison	Sentence-level audit Korean development guide, SQL tuning guide, and Altibase Oracle comparison documents against English arch targets; update English from Korean where needed.
P213	Done	docs	Tech audit: migration conversion and VC guides	Sentence-level audit Korean Oracle conversion, MSSQL conversion, Altibase version migration, Migration Center, VC 2008, and VC 2010 documents against English arch targets; update English from Korean where needed.
P214	Done	docs	Tech audit: Docker GeoServer and SQuirrel tools	Sentence-level audit Korean Docker, GeoServer, and SQuirrel SQL Client documents against English arch targets; update English from Korean where needed.
P215	Done	docs	FAQ audit: installation and operation core	Sentence-level audit Korean FAQ category 01 and core category 02 operation/security/user/session/client configuration documents against English FAQE targets; update English from Korean where needed.
P216	Done	docs	FAQ audit: operation storage logs jobs and resources	Sentence-level audit remaining Korean FAQ category 02 operation/management documents for logs, tablespaces, files, jobs, resources, and operational changes against English FAQE targets; update English from Korean where needed.
P217	Done	docs	FAQ audit: replication	Sentence-level audit Korean FAQ category 03 replication documents against English FAQE targets; update English from Korean where needed.
P218	Done	docs	FAQ audit: backup SQL and stored procedures	Sentence-level audit Korean FAQ categories 04, 05, and 06 backup/recovery, SQL, and Stored Procedures documents against English FAQE targets; update English from Korean where needed.
P219	Done	docs	FAQ audit: development API	Sentence-level audit Korean FAQ category 07 development/API documents against English FAQE targets; update English from Korean where needed.
P220	Done	docs	FAQ audit: monitoring	Sentence-level audit Korean FAQ category 08 monitoring documents against English FAQE targets; update English from Korean where needed.
P221	Done	docs	FAQ audit: error messages	Sentence-level audit Korean FAQ category 09 error message documents against English FAQE targets; update English from Korean where needed.
P222	Done	docs	FAQ audit: utilities others general	Sentence-level audit Korean FAQ categories 11, 12, and 13 utility, others, and general documents against English FAQE targets; update English from Korean where needed.
P223	Done	docs	Technical attachment source and export revalidation	Revalidate technical-document attachments, external source links, empty Markdown links, legacy # attachment labels, Error rendering macro, Unknown macro, and known export artifacts across audited arch documents; update English references and report risks.
P224	ToDo	docs	FAQ attachment source English-only and export revalidation	Revalidate FAQ attachments, external source links, empty Markdown links, English-only FAQE classification candidates, legacy # labels, and export artifacts across audited FAQE documents; update English references and report risks.
P225	ToDo	docs	LLM readiness and multilingual terminology review	Review J013 handoff structure, LLM package readiness, duplicate-handling rules, and multilingual terminology preservation rules without creating final consolidated LLM documents.
P226	ToDo	docs	Final pass2 validation and report	Run final JSON, diff, document count, mapping, attachment/link, stale-pattern, and workflow checks; update the pass2 review report with changes, evidence, remaining risks, and readiness for LLM consolidation.
