path	line	class	excerpt	action	evidence	risk	notes
arch/Home/Altibase Development Guide/4. CLIENT APPLICATION Error Messages__14058547.md	213	intentional_attachment_filename	- `ALTIBASE_개발가이드.pdf`	preserved	Korean source legacy document placeholder retained as an attachment filename; no prose translation needed.	none	Legacy attachment filename is intentionally preserved for traceability.
arch/Home/Altibase Development Guide/4. CLIENT APPLICATION Error Messages__14058547.md	214	intentional_attachment_filename	- `ALTIBASE_개발가이드_5.3.pdf` (ALTIBASE v5.3)	preserved	Korean source legacy document placeholder retained as an attachment filename with version context.	none	Legacy attachment filename is intentionally preserved for traceability.
arch/Home/APRE_C_C++ New Features & Upgrade Guide__22643052.md	458	intentional_attachment_filename	Legacy document placeholder: `APRE_New_Features_업그레이드_가이드.pdf` (`#`) (changes after Altibase v5).	preserved	Hangul is inside a legacy attachment filename placeholder; surrounding English text is already translated.	none	Legacy `#` attachment label should remain for later legacy-attachment inventory.
arch/Home/Linux Setup Guide for Altibase__22643022.md	1342	intentional_attachment_filename	- [Altibase_운영을_위한_Linux_설정_가이드_2019.pdf](https://docs.altibase.com/download/attachments/13436485/Altibase_%EC%9A%B4%EC%98%81%EC%9D%84_%EC%9C%84%ED%95%9C_Linux_%EC%84%A4%EC%A0%95_%EA%B0%80%EC%9D%B4%EB%93%9C_2019.pdf?version=1&modificationDate=1584944731000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Linux Setup Guide for Altibase__22643022.md	1343	intentional_attachment_filename	- Legacy document: [ALTIBASE_운영을_위한_Linux_설정_가이드.pdf](https://docs.altibase.com/download/attachments/13436485/ALTIBASE_%EC%9A%B4%EC%98%81%EC%9D%84_%EC%9C%84%ED%95%9C_Linux_%EC%84%A4%EC%A0%95_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1698366100000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Altibase Quick Install & Start for UNIX__16875604.md	801	intentional_sample_data	iSQL> insert into test values ('알티베이스');	preserved	Hangul is deliberate SQL sample data used to demonstrate Korean character-set behavior.	none	Sample data must remain unchanged.
arch/Home/Altibase Quick Install & Start for UNIX__16875604.md	830	intentional_sample_data	-> When retrieving Korean data in a session connected with US7ASCII, the input "알티베이스" data may be broken and displayed as ?????	preserved	Hangul is the same deliberate sample value referenced by translated explanatory text.	none	Sample value must remain unchanged.
arch/Home/Altibase Quick Install & Start for UNIX__16875604.md	862	intentional_sample_data	알티베이스	preserved	Hangul is expected query output proving Korean data displays correctly after character-set configuration.	none	Sample output must remain unchanged.
arch/Home/Altibase VC 2008 Development Guide__19333567.md	43	intentional_attachment_filename	Downloadable document: [ALTIBASE_VC_2008_개발가이드.zip](https://docs.altibase.com/download/attachments/19333567/ALTIBASE_VC_2008_%EA%B0%9C%EB%B0%9C%EA%B0%80%EC%9D%B4%EB%93%9C.zip?version=1&modificationDate=1697696674000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/ORACLE to ALTIBASE Conversion Guide__22643038.md	1175	intentional_attachment_filename	- `ALTIBASE_Oracle_변환_가이드.pdf` (Altibase v6 & Oracle 11g)	preserved	Korean source legacy document placeholder retained as an attachment filename with version context.	none	Legacy attachment filename is intentionally preserved for traceability.
arch/Home/ORACLE to ALTIBASE Conversion Guide__22643038.md	1176	intentional_attachment_filename	- `ORACLE_to_ALTIBASE_변환_가이드_5.5.pdf` (Altibase v5 & Oracle 10g)	preserved	Korean source legacy document placeholder retained as an attachment filename with version context.	none	Legacy attachment filename is intentionally preserved for traceability.
