job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	1	15	S030-F11-01-U001	metadata	title/source metadata	8454900; AdminCenter2; 2025-08-07	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	1	not_applicable	Excluded from technical coverage.	English target has translated metadata, title, and source metadata.	none	Export metadata is not technical utility behavior.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	21	21	S030-F11-01-U002	overview	AdminCenter2 last version	AdminCenter2; last version	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	23	covered	No English change required.	English states this is the last version of AdminCenter2.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	23	23	S030-F11-01-U003	version_condition	AdminCenter2 can be used only through ALTIBASE HDB 4	AdminCenter2; ALTIBASE HDB 4	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	25	covered	No English change required.	English preserves the ALTIBASE HDB version 4 upper limit.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	25	25	S030-F11-01-U004	replacement_tool	from ALTIBASE HDB 5 use Ware Valley Orange for Altibase; download URL	http://www.warevalley.com; ALTIBASE HDB 5; Orange for Altibase	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	27	covered	No English change required.	English preserves the ALTIBASE HDB 5 replacement-tool note and Ware Valley URL.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	27	27	S030-F11-01-U005	support_notice	AdminCenter2 maintenance has ended and support requests are not accepted	maintenance ended; support	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	29	covered	No English change required.	English preserves the no-support warning after maintenance end.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	33	33	S030-F11-01-U006	attachment	AdminCenter2.zip executable download	AdminCenter2.zip; docs.altibase.com/download/attachments/8454900	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	35	covered	No English change required.	English preserves the exact AdminCenter2.zip download URL.	none	URL-backed ZIP attachment preserved.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	39	39	S030-F11-01-U007	procedure	download executable, unzip, run AdminCenter.exe	AdminCenter.exe; unzip	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	41	covered	No English change required.	English preserves the execution procedure.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	41	41	S030-F11-01-U008	configuration	use $ALTIBASE_HOME/lib/Altibase.jar from the server for JDBC connection	$ALTIBASE_HOME/lib/Altibase.jar; JDBC Driver	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	43	covered	No English change required.	English preserves the Altibase.jar path and JDBC driver guidance.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	47	47	S030-F11-01-U009	manual	run AdminCenter.exe and use Help -> Help Contents	AdminCenter.exe; Help -> Help Contents	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	49	covered	No English change required.	English preserves the manual access procedure.	none	S030 direct inspection.
S030	faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md	49	49	S030-F11-01-U010	limitation	separate Korean version is not provided	Korean version	FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	51	covered	No English change required.	English preserves the no-separate-Korean-version note.	none	S030 direct inspection.
