path	manifest_entry_id	checked_fields	status	action	body_chars_manifest	body_chars_actual	word_count_manifest	word_count_actual	risk	notes
manifest.json	E008-summary	json_validity; page_count; path_resolution; body_chars; word_count; source_counts	matched	Checked 588 page entries; path mismatches 0; metadata mismatches 0; manifest fixes applied 0; remaining risks 0.	n/a	n/a	n/a	n/a	none	Phase 1 path-normalization assumption reused: manifest paths are export-root paths under altibase_docs_md/, while repository paths are resolved after removing that prefix. Actual word_count uses len(text.split()). Source counts verified by standard checks: DOCK/Home=51, faq/Home=115, arch/Home=181, FAQE/Home=241.
DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	13437165	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11241	11241	2063	2063	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	11698408	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	15154	15154	2645	2645	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/22. Altibase 운영을 위한 Solaris 설정 가이드__11698415.md	11698415	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10074	10074	1828	1828	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/23. Altibase 운영을 위한 HPUX 설정 가이드__14057733.md	14057733	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	13971	13971	2671	2671	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/24. Altibase 운영을 위한 AIX 설정 가이드__13436846.md	13436846	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11420	11420	2121	2121	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/25. Altibase 데이터베이스 생성 가이드__13436812.md	13436812	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5428	5428	747	747	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	13435879	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	18139	18139	3316	3316	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	13828098	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	19957	19957	3931	3931	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	7341030	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	19435	19435	2350	2350	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
