job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용__7341694.md	1	15	S024-F04-01-U001	metadata	title/source metadata and generated navigation	7341694; aexport; iloader; 2025-08-07	FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and title metadata.	none	Export metadata is not technical procedure content.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용__7341694.md	17	19	S024-F04-01-U002	overview	Document introduces downloading database objects/data as readable text and uploading from downloaded files	aexport; iloader; database objects; text files; upload	FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	17	covered	No English change required.	English describes using aexport and iloader to download database objects/data as user-readable text files and upload them.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용__7341694.md	21	23	S024-F04-01-U003	reference	Manual references for iLoader, Utilities, and manual download page	iLoader User's Manual; Utilities Manual; support.altibase.com/kr/manual	FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	21	covered	No English change required.	English preserves iLoader User's Manual, Utilities Manual, an English manual page link, and GitHub manuals link.	none	English uses the corresponding English support/manual path.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md	1	15	S024-F04-01-01-U001	metadata	title/source metadata and generated navigation	7341696; aexport; iloader; 2025-08-07	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and title metadata.	none	Export metadata is not technical procedure content.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md	17	21	S024-F04-01-01-U002	definition	aexport creates scripts to download database object creation scripts and data as text	aexport; object creation scripts; data; text files	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	17	covered	No English change required.	aexport is a utility that creates scripts that can download object creation scripts and data from the database as text files.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md	23	32	S024-F04-01-01-U003	object_list	aexport can extract users, privileges, tablespaces, tables, constraints, indexes, views, materialized views, procedures, and replication objects	Database user; User privilege; Tablespace; Materialized View; ALTIBASE HDB 6.3.1; Stored procedure; Replication object	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	23	covered	No English change required.	English list preserves database user, user privilege, tablespace, table, table constraint, index, view, Materialized view from ALTIBASE HDB 6.3.1, stored procedure, and replication object.	none	Bullet list verified item-by-item.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md	34	34	S024-F04-01-01-U004	guidance	Recommended to run aexport whenever database objects change	aexport; database object change	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	36	covered	No English change required.	It is recommended that aexport be performed whenever there is a database object change.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md	36	42	S024-F04-01-01-U005	definition	iloader downloads or uploads table data as readable text and can be used for migration or table-level backup	iloader; table units; text file; migration; table-by-table backup; form file	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	38	covered	No English change required.	English preserves iloader download/upload by table, readable text files, migration/table backup use, and aexport generating iloader command scripts.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	1	15	S024-F04-01-02-U001	metadata	title/source metadata and generated navigation	7341698; aexport; database object backup; 2025-08-08	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and title metadata.	none	Export metadata is not technical procedure content.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	17	24	S024-F04-01-02-U002	configuration	Before running aexport, change field and row separator settings in aexport.properties	ILOADER_FIELD_TERM; ILOADER_ROW_TERM; aexport.properties	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	17	covered	No English change required.	English instructs changing ILOADER_FIELD_TERM and ILOADER_ROW_TERM in aexport.properties and explains field/record separator meanings.	none	Korean line 21 has FILED typo, but line 24 and English preserve the intended ILOADER_FIELD_TERM identifier.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	26	34	S024-F04-01-02-U003	command	Default commented separator values in aexport.properties	grep TERM aexport.properties; #ILOADER_FIELD_TERM = ^; #ILOADER_ROW_TERM = %n	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	28	covered	No English change required.	English preserves the default grep example and commented #ILOADER_FIELD_TERM and #ILOADER_ROW_TERM values.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	36	44	S024-F04-01-02-U004	command	Change separators to more distinctive values	ILOADER_FIELD_TERM = ^Cc__Cc^; ILOADER_ROW_TERM = ^Rr__Rr^%n	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	38	covered	No English change required.	English preserves the distinctive separator values ^Cc__Cc^ and ^Rr__Rr^%n.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	46	54	S024-F04-01-02-U005	procedure	aexport.properties is under $ALTIBASE_HOME/conf; copy aexport.properties.sample if missing	$ALTIBASE_HOME/conf; aexport.properties.sample; cp -p	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	48	covered	No English change required.	English preserves the $ALTIBASE_HOME/conf location and sample-copy procedure.	none	S024 direct inspection.
S024	faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md	56	61	S024-F04-01-02-U006	explanation	aexport creates database object scripts and iloader data download/upload scripts; separator defaults can break upload if present in character data	database object creation script; data download/upload script; character data type column	FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	58	covered	No English change required.	English preserves generated script types and warns that simple separator values included in character data may cause upload problems.	none	S024 direct inspection.
