job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	1	17	S026-F08-01-U001	metadata	title/source metadata and generated navigation	9110730; altiProfile; 2025-08-07	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter, title, source metadata, and generated navigation.	none	Export metadata and TOC are not technical monitoring behavior.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	19	27	S026-F08-01-U002	overview	altiProfile records server operations/status, SQL, execution time, index/disk access, PLAN, session and system information	altiProfile; SQL; PLAN; session information; system information	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	19	covered	No English change required.	English overview preserves the altiProfile purpose and all listed collected information.	none	S026 direct inspection.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	29	44	S026-F08-01-U003	configuration	property table for QUERY_PROF_FLAG, TIMED_STATISTICS, V$SESSTAT/V$SYSSTAT/V$MEMSTAT, and QUERY_PROF_LOG_DIR	QUERY_PROF_FLAG; TIMED_STATISTICS; V$SESSTAT; V$SYSSTAT; V$MEMSTAT; QUERY_PROF_LOG_DIR; ALTER SYSTEM	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	29	covered	No English change required.	English table preserves flag values 0,1,2,4,8,16,32, combinations 7 and 63, statistics views, default log directory, and ALTER SYSTEM note.	none	S026 direct inspection.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	46	70	S026-F08-01-U004	procedure	start altiProfile with TIMED_STATISTICS=1 and QUERY_PROF_FLAG value; stop with QUERY_PROF_FLAG=0 and TIMED_STATISTICS=0	TIMED_STATISTICS=1; QUERY_PROF_FLAG; QUERY_PROF_FLAG=0; TIMED_STATISTICS=0	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	46	covered	No English change required.	English procedure preserves the startup and shutdown commands and ordering.	none	S026 direct inspection.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	72	88	S026-F08-01-U005	procedure	profile files are binary under $ALTIBASE_HOME/trc and converted with altiProfile; supports single and multiple input files	$ALTIBASE_HOME/trc; alti#time-#number.prof; altiProfile; stdout	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	75	covered	No English change required.	English preserves file location, binary conversion, single/multiple file commands, and stdout redirection guidance.	none	S026 direct inspection.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	90	160	S026-F08-01-U006	output_example	QUERY_PROF_FLAG=1 statement format includes UPDATE EMPLOYEES, user info, elapsed/query execute, XA, result set, index and disk access	QUERY_PROF_FLAG=1; UPDATE EMPLOYEES; XA; INDEX ACCESS; DISK ACCESS	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	95	covered	No English change required.	English preserves the flag 1 statement output fields and sample identifiers.	none	Long output block summarized in S026 note.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	162	189	S026-F08-01-U007	output_example	QUERY_PROF_FLAG=3 bind values and QUERY_PROF_FLAG=7 PLAN output examples	QUERY_PROF_FLAG=3; BIND_VALUE; QUERY_PROF_FLAG=7; PLAN	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	167	covered	No English change required.	English preserves bind-value and plan examples for flags 3 and 7.	none	S026 direct inspection.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	191	336	S026-F08-01-U008	output_example	QUERY_PROF_FLAG=15 session statistics equivalent to select * from v$sesstat order by sid, seqnum	QUERY_PROF_FLAG=15; V$SESSTAT; sid; seqnum	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	194	covered	No English change required.	English preserves the session-statistics output and V$SESSTAT equivalence.	none	Long output block summarized in S026 note.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	338	477	S026-F08-01-U009	output_example	QUERY_PROF_FLAG=31 system statistics equivalent to select * from v$sysstat order by seqnum	QUERY_PROF_FLAG=31; V$SYSSTAT; seqnum	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	338	covered	No English change required.	English preserves the system-statistics output and V$SYSSTAT equivalence.	none	Long output block summarized in S026 note.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	479	610	S026-F08-01-U010	output_example	QUERY_PROF_FLAG=63 memory statistics equivalent to select * from v$memstat order by seqnum	QUERY_PROF_FLAG=63; V$MEMSTAT; seqnum	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	481	covered	No English change required.	English preserves the memory-statistics output and V$MEMSTAT equivalence.	none	Long output block summarized in S026 note.
S026	faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md	612	680	S026-F08-01-U011	command	altiProfile -stat query/session options and .txt/.csv output examples	altiProfile -stat; query; session; .txt; .csv; alti-prof-stat	FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	613	covered	No English change required.	English preserves -stat options, query/session selection, and generated .txt/.csv file examples.	none	S026 direct inspection.
