job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	23	31	S005-D020-X001	cross_reference	Configuration guide overview with system resource sizing and replication guide references	Altibase 7.1.0; Altibase 7.3.0; https://docs.altibase.com/x/n4HW; https://docs.altibase.com/x/AgDT	arch/Home/Altibase Configuration File Guide__22642991.md	23	covered	Cross-reference only; S003 owns full D020 audit.	English preserves the `altibase.properties` scope, Altibase 7.1.0/7.3.0 basis, and links to the resource sizing and replication guides.	none	S005 operation-specific cross-reference row; primary owner S003.
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	111	125	S005-D020-X002	cross_reference	DB creation property rows relevant to operation capacity and startup connection	MEM_MAX_DB_SIZE; BUFFER_AREA_SIZE; PORT_NO; AUTO_COMMIT; SQL_PLAN_CACHE; REPLICATION_PORT_NO	arch/Home/Altibase Configuration File Guide__22642991.md	103	covered	Cross-reference only; S003 owns full D020 audit.	English preserves capacity-planning, buffer, port, session precedence, SQL plan cache, and replication port rows.	none	S005 references D020 properties used by S005 resource and failure-response topics; primary owner S003.
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	159	169	S005-D020-X003	cross_reference	Session properties for concurrent connection operation	MAX_CLIENT; MULTIPLEXING_THREAD_COUNT; CPU Core Count * 2; https://docs.altibase.com/x/FARw	arch/Home/Altibase Configuration File Guide__22642991.md	149	covered	Cross-reference only; S003 owns full D020 audit.	English preserves `MAX_CLIENT`, `MULTIPLEXING_THREAD_COUNT`, restart requirement, CPU-core default guidance, and concurrent-session reference.	none	S005 operation-specific cross-reference row; primary owner S003.
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	170	199	S005-D020-X004	cross_reference	Resource limit properties for operational fault prevention and diagnosis	LOCK_ESCALATION_MEMORY_SIZE; TRX_UPDATE_MAX_LOGSIZE; PREPARE_STMT_MEMORY_MAXIMUM; EXECUTE_STMT_MEMORY_MAXIMUM; QUERY_TIMEOUT; FETCH_TIMEOUT; UTRANS_TIMEOUT; IDLE_TIMEOUT; altibase_boot.log	arch/Home/Altibase Configuration File Guide__22642991.md	162	covered	Cross-reference only; S003 owns full D020 audit.	English preserves the resource-limit purpose, property rows, error examples, ALTER examples, and timeout logging to `altibase_boot.log`.	none	S005 operation-specific cross-reference row; primary owner S003.
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	201	220	S005-D020-X005	cross_reference	Disk I/O operation properties and checkpoint throttling	BUFFER_AREA_SIZE; BUFFER_FLUSHER_CNT; PREPARE_LOG_FILE_COUNT; LF_PREPARE_WAIT_COUNT; v$lfg; CHECKPOINT_BULK_WRITE_PAGE_COUNT; DIRECT_IO_ENABLED; DATABASE_IO_TYPE; TOTAL_WA_SIZE; SORT_AREA_SIZE; HASH_AREA_SIZE	arch/Home/Altibase Configuration File Guide__22642991.md	191	covered	Cross-reference only; S003 owns full D020 audit.	English preserves disk-buffer, flusher, empty log file, checkpoint throttling, Direct I/O, and work-area sizing semantics.	none	S005 operation-specific cross-reference row; primary owner S003.
S005	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	221	231	S005-D020-X006	cross_reference	PBT properties for operational problem tracking	QP_MSGLOG_FLAG; RP_CONFLICT_MSGLOG_FLAG; TIMED_STATISTICS; ALTER SYSTEM SET TIMED_STATISTICS = 1; v$statement	arch/Home/Altibase Configuration File Guide__22642991.md	211	covered	Cross-reference only; S003 owns full D020 audit.	English preserves DDL logging, replication conflict DML logging, and timed-statistics activation for SQL execution-time analysis.	none	S005 operation-specific cross-reference row; primary owner S003.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	1	17	S005-D026-U001	metadata	front matter, Source URL, Updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Responding to Failures Guide for Altibase__15138818.md; arch/Home/Responding to Failures Guide for Altibase/1. Classification by type of failure__15138822.md; arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md; arch/Home/Responding to Failures Guide for Altibase/3. References__15138869.md	1	not_applicable	Export metadata and Confluence anchor syntax are not technical source content; split English targets have their own metadata and headings.	English parent and child pages preserve their own source metadata.	none	S005 direct inspection; technical units start at overview.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	19	27	S005-D026-U002	heading_paragraph	Failure-response overview, unavailable-service scope, and excluded CPU/lock tuning topics	Altibase; DBMS; technical support; tuning guide; operation guide	arch/Home/Responding to Failures Guide for Altibase__15138818.md	19	covered	No English change required.	English describes Altibase as core DBMS software, service-unavailable failure procedures, and excludes CPU abnormalities and lock-related performance delays.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	29	38	S005-D026-U003	boilerplate	Support portal, support center, and legal/product roadmap boilerplate	support.altibase.com; 02-2082-1114	arch/Home/Responding to Failures Guide for Altibase__15138818.md	29	not_applicable	Contact boilerplate is not required for technical coverage; support contact semantics are present in English.	English includes support portal and support center contact; legal boilerplate does not affect failure-response procedures.	none	S005 follows existing workflow handling for nontechnical boilerplate.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	40	55	S005-D026-U004	heading_table	Failure classification into urgent and non-urgent failures	urgent failure; non-urgent failure; maintenance contract	arch/Home/Responding to Failures Guide for Altibase/1. Classification by type of failure__15138822.md	21	covered	No English change required.	English preserves urgent/non-urgent definitions and states urgent support follows the maintenance contract while non-urgent cases require first response by users using guides.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	57	82	S005-D026-U005	table_command	Urgent failure causes, information to provide, support upload, and ALTIBASE_HOME check	System abnormality; Altibase abnormality; $ALTIBASE_HOME/trc; echo $ALTIBASE_HOME; support.altibase.com	arch/Home/Responding to Failures Guide for Altibase/1. Classification by type of failure__15138822.md	34	covered	No English change required.	English preserves the two urgent-failure situations, required system and trace logs, failure-time details, support website submission, and `echo $ALTIBASE_HOME` command.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	84	107	S005-D026-U006	procedure	Urgent failure user action procedure	ps -ef; altibase -p boot from; isql; 127.0.0.1; port 20300; server kill; server start	arch/Home/Responding to Failures Guide for Altibase/1. Classification by type of failure__15138822.md	67	covered	No English change required.	English preserves process check, local connection check, support request, phone contact, restart through `server kill` and `server start`, and OS install-user constraint.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	109	117	S005-D026-U007	heading_paragraph	Procedure-by-failure introduction and connection failure condition	connection failure; server running; Altibase process running	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	21	covered	No English change required.	English introduces the same case where DB access fails while the server or Altibase process is running normally.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	119	135	S005-D026-U008	table_rows	Connection-failure type table and error codes	$ALTIBASE_HOME/altibase_boot.log; ERR-01052; ERR-71016; ERR-50032; ERR-31010; ERR-4102E; ERR-31370; ERR-410E3	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	27	covered	No English change required.	English preserves all five failure categories and associated file descriptor, connection, account-lock, TCP restriction, network, and disk-space errors.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	137	145	S005-D026-U009	table_warning	Connection-failure first-response checklist	ulimit -n; unlimited; 4096; PORT_NO; $ALTIBASE_HOME/conf/altibase.properties; netstat; ftp; telnet; df; bdf; online log files	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	45	covered	No English change required.	English preserves file descriptor recommendations, connection setting checks, network packet checks, disk usage check, and the warning not to delete online log files.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	147	157	S005-D026-U010	table_command	Hang information collection by OS and pstack/procstack interpretation	SUN; HP; PA-RISC; IA; AIX; Linux; pstack; procstack; 30-second intervals	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	55	covered	No English change required.	English preserves the Hang condition, OS-specific three-sample commands, 30-second interval instruction, low-kernel Linux caveat, and trace/system log handoff.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	159	163	S005-D026-U011	heading_paragraph	Resource-shortage failure scope	physical memory; disk space; logical tablespace space	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	71	covered	No English change required.	English defines resources as logical Altibase space plus physical memory and disk space and introduces operation-time responses.	none	S005 direct inspection.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	165	182	S005-D026-U012	table_sql	Insufficient tablespace diagnostics and emergency actions	ERR-110F1; ERR-11123; ALTER TABLESPACE; AUTOEXTEND; MAXSIZE 1G; SYS_TBS_MEM_DATA; SYS_TBS_MEM_DIC; MEM_MAX_DB_SIZE; DELETE; TRUNCATE; COMPACT; ADD DATAFILE	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	77	covered	No English change required.	English preserves memory and disk tablespace error examples, monitoring need, ALTER TABLESPACE actions, SYS tablespace limits, MEM_MAX_DB_SIZE restart path, cleanup SQL, and disk datafile addition.	none	Long SQL blocks summarized; identifiers preserved.
S005	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	184	186	S005-D026-U013	heading_paragraph	Physical disk shortage can look like Hang and has no recovery action except freeing disk	online log files; trace logs; physical disk capacity	arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md	100	covered	No English change required.	English preserves that missing disk space can prevent online log files and trace logs from being written, making DB status look like Hang, and requires freeing disk space.	none	S005 direct inspection.
