job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	1	17	S012-D028-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical WAS integration content.	none	English target has its own metadata and navigation.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	19	34	S012-D028-U002	overview_support	Altibase and TOMCAT integration guide; test environment; support portal and center	Altibase v6.3 or later; TOMCAT v7.0; support.altibase.com; 02-2082-1114	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md	17	covered	No English change required.	English overview preserves the integration purpose, test environment, support portal, and support center.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	36	40	S012-D028-U003	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual-property notice	disclaimer; roadmap; intellectual property	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change TOMCAT integration semantics.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	42	47	S012-D028-U004	installation_prerequisite	TOMCAT 7 installation overview and JDK or JRE prerequisite	TOMCAT 7; JDK; JRE	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	50	covered	No English change required.	English installation page preserves the TOMCAT 7 basis and JDK/JRE prerequisite.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	48	54	S012-D028-U005	download	Download recent TOMCAT binary from tomcat.apache.org; source filename is apache-tomcat-7.0.56.tar.gz	http://tomcat.apache.org/download-70.cgi; apache-tomcat-7.0.56.tar.gz	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	56	added	Updated English source.	Corrected English TOMCAT binary filename from apache-tomcat-7.0.46.tar.gz to apache-tomcat-7.0.56.tar.gz.	none	English updated in S012.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	56	86	S012-D028-U006	command	Move downloaded archive by FTP, extract with tar, and move apache-tomcat-7.0.56 to /app/was/tomcat7	tar xvzf apache-tomcat-7.0.56.tar.gz; mv apache-tomcat-7.0.56 /app/was/tomcat7	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	60	covered	No English change required.	English preserves the FTP transfer note, binary extraction installation, tar output, and move command.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	88	105	S012-D028-U007	configuration	Set CATALINA_HOME, JAVA_HOME or JRE_HOME, PATH, and source .bash_profile	CATALINA_HOME; JAVA_HOME; JRE_HOME; PATH; .bash_profile	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	94	covered	No English change required.	English preserves the three environment variables and shell example.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	107	123	S012-D028-U008	command	Start TOMCAT with catalina.sh start or Windows catalina start	catalina.sh start; catalina start; Tomcat started	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	115	covered	No English change required.	English preserves the startup command and expected output.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	125	140	S012-D028-U009	command	Stop TOMCAT with catalina.sh stop or Windows catalina stop	catalina.sh stop; catalina stop	arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md	131	covered	No English change required.	English preserves the shutdown command and output variables.	none	S012 direct inspection.
S012	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	142	154	S012-D028-U010	jdbc_driver	Altibase JDBC driver must be placed for TOMCAT; Altibase.jar and Altibase5.jar usage	Altibase.jar; Altibase5.jar; $ALTIBASE_HOME/lib; Altibase v5	arch/Home/TOMCAT Integration Guide for Altibase/2. JDBC Driver Configuration__14058500.md	165	covered	No English change required.	English preserves driver placement requirement and Altibase.jar versus Altibase5.jar guidance.	none	S012 direct inspection.
