job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	1	17	S009-D050-U001	metadata	front matter, Source URL, updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Considerations for Altibase Backup Policy__14647709.md; arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md; arch/Home/Considerations for Altibase Backup Policy/2. Considerations for Determining Backup Policy__14647722.md; arch/Home/Considerations for Altibase Backup Policy/3. Summary (Considerations for Altibase Backup Policy)__14647728.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated TOC are not technical backup/recovery content; split English pages keep their own metadata and normalized navigation.	none	Technical content starts at the overview.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	19	27	S009-D050-U002	overview	Backup-policy purpose for data loss from corruption, loss, or deletion; introduces backup types and excludes detailed commands/options	data file corruption; data file loss; data deletion; backup types; commands; options	arch/Home/Considerations for Altibase Backup Policy__14647709.md	19	covered	No English change required.	English overview preserves the data-loss scenarios, backup-policy purpose, backup-type introduction, operating-environment selection purpose, and command/option exclusion.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	29	32	S009-D050-U003	support_contact	Technical support portal and technical support center	support.altibase.com; 02-2082-1114	arch/Home/Considerations for Altibase Backup Policy__14647709.md	25	covered	No English change required.	English preserves the support portal, Technical Knowledge > Q&A path, and technical support center phone number.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	34	38	S009-D050-U004	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual property notice	legal disclaimer; product roadmap; intellectual property	arch/Home/Considerations for Altibase Backup Policy__14647709.md	25	not_applicable	Excluded from technical coverage.	Legal boilerplate does not alter technical backup/recovery semantics; support contact is covered separately.	none	Handled consistently with prior semantic audit jobs.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	40	50	S009-D050-U005	classification	Backup type classification follows Administrator Manual: logical, physical online/offline, incremental from Altibase 6.3.1	Logical backup; Physical backup; Online backup; Offline backup; Incremental backup; Altibase 6.3.1; Administrator Manual	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	19	covered	No English change required.	English preserves the same classification and Altibase 6.3.1 incremental-backup version condition.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	52	57	S009-D050-U006	heading_paragraph	Logical backup backs up database objects and data as user-readable text using aexport and iLoader	Logical Backup; aexport; iLoader; database objects; text files	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	27	covered	No English change required.	English preserves the logical-backup definition and the `aexport`/`iLoader` utilities.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	60	60	S009-D050-U007	table_row	aexport logical backup creates all database object creation statements as .sql files, with all/user/object scopes and sample output	aexport; .sql; ALL_ALT_TBL.sql; ALL_CRT_INDEX.sql; ALL_CRT_TBL.sql; ALTITEST; ORDERS	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	33	covered	No English change required.	English aexport row preserves migration/backup purpose, all object creation statement `.sql` output, three execution scopes, and searchable sample output.	none	Long sample summarized; exact file and object identifiers preserved.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	61	61	S009-D050-U008	table_row	iLoader logical backup backs up table data as user-readable text, with DEPARTMENTS sample data	iLoader; SYS_DEPARTMENTS.dat; DEPARTMENTS; RESEARCH DEVELOPMENT DEPT 1	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	36	covered	No English change required.	English iLoader row preserves table-level text backup purpose and the DEPARTMENTS sample data output.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	63	69	S009-D050-U009	heading_paragraph	Physical backup copies Altibase server files such as data files and log anchor files to another physical place; online/offline by server status	Physical Backup; data files; log anchor files; Online backup; Offline backup	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	38	covered	No English change required.	English preserves physical backup as copying data/log-anchor files to a different physical location and classifies it by server running status.	none	S009 direct inspection.
S009	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	73	73	S009-D050-U010	table_row	Online physical backup while Altibase is running; full DB or tablespace-level; backs up one stable memory checkpoint image set and excludes disk temporary tablespace data files	Online backup; entire database; tablespace level; memory checkpoint image file; disk temporary tablespace; loganchor0; system001.dbf; undo001.dbf	arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md	46	covered	No English change required.	English online-backup row preserves running-server scope, full/tablespace options, one stable memory checkpoint image file, disk temporary exclusion, log anchor files, and sample file list.	none	Long sample summarized; identifiers preserved.
