job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	1	17	S004-D021-U001	metadata	front matter, Source URL, Updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	1	not_applicable	Export metadata and Confluence anchor syntax are not technical source content; English page has its own metadata and TOC.	English source_url and Updated stamp exist on the target page.	none	S004 direct inspection; technical units start at overview.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	19	31	S004-D021-U002	heading_paragraph	Overview of WAL redo log/data storage, disk contention, purpose, and Altibase 6.5+ basis	WAL; Redo log; disk I/O contention; Altibase 6.5	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	19	covered	English preserves WAL flow, persistent redo/data storage, same-disk contention caution, purpose, and Altibase 6.5 or later basis.	This guide describes how ALTIBASE HDB writes redo logs and data... based on Altibase 6.5 or later.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	33	36	S004-D021-U003	boilerplate	Support portal and support center contact boilerplate	support.altibase.com; 02-2082-1114	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	0	not_applicable	Contact boilerplate does not change disk I/O technical coverage; technical external links and source attachments are audited separately.	No disk layout, command, parameter, warning, or attachment is omitted by this contact-only unit.	none	S004 uses same nontechnical handling for contact/legal boilerplate across platform pages.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	38	42	S004-D021-U004	boilerplate	Legal/warranty and product roadmap boilerplate	정보 제공; 예고 없이 변경; 지적 재산권	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	0	not_applicable	Nontechnical legal boilerplate is intentionally not required for English technical coverage in this workflow.	No disk I/O procedure, identifier, setting, or warning is omitted.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	44	64	S004-D021-U005	heading_paragraph	Redo log contents, mmap write path, LogSyncThread persistence, outage caveat, and property-change option	mmap; LogSyncThread; redo log; power failure; OS hang	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	31	covered	English preserves redo-log purpose, transaction/resource change contents, mmap area, LogSyncThread, loss caveat, and option to change write method.	redo logs are initially recorded... by mmap... periodically saved... by LogSyncThread... except in the case of power failure or an OS hang.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	66	88	S004-D021-U006	heading_paragraph	Checkpoint disk I/O for memory DB, 32K pages, dirty pages, durability, and separate redo/data disks	32K; Dirty Page; checkpoint; redo logs; datafiles	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	45	covered	English preserves memory-table startup loading, 32K pages, slot structure, dirty page checkpoint, durability, and separate physical disk recommendation.	Each page has a fixed size of 32K... saving these dirty pages... checkpoint... store redo logs and datafiles on separate physical disks.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	90	95	S004-D021-U007	table_rows	Memory DB checkpoint example disk paths	/ALTIBASE_REDO_LOG; /ALTIBASE_DATA	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	59	covered	English preserves the redo-log and datafile separation example table.	Redo Logs /ALTIBASE_REDO_LOG... Datafiles /ALTIBASE_DATA.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	97	121	S004-D021-U008	heading_paragraph	Disk DB buffer behavior, 8K pages, Flush List, LRU BufferReplace, and memory/disk datafile separation	8K; Flush List; LRU; BufferReplace; memory table datafiles; disk table datafiles	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	66	covered	English preserves disk table storage, user-sized 8K buffer pages, Flush List, LRU BufferReplace, same-disk contention risk, and separation guidance.	buffer... page size of 8K... registered to the Flush List... LRU algorithm... BufferReplace... allocate memory and disk datafiles to separate physical disks.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	123	129	S004-D021-U009	table_rows	Disk DB example paths with redo, memory data, and disk data spaces	/ALTIBASE_REDO_LOG; /ALTIBASE_MEMORY_DATA; /ALTIBASE_DISK_DATA	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	80	covered	English preserves the three-path disk DB example table.	Redo Logs... Memory Table Datafiles... Disk Table Datafiles.	none	S004 direct inspection.
S004	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	131	141	S004-D021-U010	heading_paragraph	Undo tablespace comparison of memory out-place update and disk in-place update with recovery copy-back	MVCC; out-place update; in-place update; undo tablespace	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	88	covered	English preserves memory undo image, MVCC, disk undo tablespace copy, in-place update, original-location recovery, and separate disk recommendation.	original data stored in the undo tablespace is copied back to its original location... placing disk table datafiles and undo tablespace datafiles on separate physical disks.	none	S004 direct inspection.
