job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	1	17	S029-F09-21-U001	metadata	title/source metadata and generated navigation	6521028; ERR-21010; nested export path; 2025-08-07	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	1	not_applicable	Excluded from technical coverage.	English target has translated metadata, title, source metadata, and generated navigation.	none	Export metadata and TOC are not technical error-message behavior.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	19	21	S029-F09-21-U002	version	all versions	ERR-21010; all versions	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	19	covered	No English change required.	English preserves all Altibase versions as the version scope.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	23	27	S029-F09-21-U003	symptom	INSERT or UPDATE fails with ERR-21010 Value overflow	INSERT; UPDATE; ERR-21010; Value overflow	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	25	covered	No English change required.	English preserves the INSERT/UPDATE symptom and exact error message.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	29	41	S029-F09-21-U004	cause	altierr shows mtERR_ABORT_VALUE_OVERFLOW and action to change value or data type; value exceeds supported data-type range	altierr 0x21010; mtERR_ABORT_VALUE_OVERFLOW; Value overflow; data type	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	33	covered	No English change required.	English preserves the altierr lookup, cause, action, and range-exceeded explanation.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	43	59	S029-F09-21-U005	example	INTEGER example fails at 2147483648 and succeeds at 2147483647 because INTEGER range is -2,147,483,647 to 2,147,483,647	create table test; integer; 2147483648; 2147483647	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	49	covered	No English change required.	English preserves the sample SQL, failing value, successful boundary value, and range explanation.	none	Long SQL/output block summarized in S029 note.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	61	65	S029-F09-21-U006	action	check whether input exceeds column data-type maximum; modify value or change column data type	maximum size; column data type; input value	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	67	covered	No English change required.	English preserves both remediation options.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md	67	69	S029-F09-21-U007	reference	data-type value ranges are in the General Reference manual	support.altibase.com/kr/manual; General Reference; Data Type	FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	75	covered	No English change required.	English points to Altibase manuals and the GitHub documents source for General Reference lookup.	none	English uses the English manual URL instead of the Korean support portal URL.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	1	17	S029-F09-22-U001	metadata	title/source metadata and generated navigation	8455157; ERR-21011; Invalid literal; 2025-08-07	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	1	not_applicable	Excluded from technical coverage.	English target has translated metadata, title, source metadata, and generated navigation.	none	Export metadata and TOC are not technical error-message behavior.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	19	23	S029-F09-22-U002	overview	document explains causes and examples of Invalid literal	Invalid literal; causes; examples	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	19	covered	No English change required.	English preserves the overview.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	25	29	S029-F09-22-U003	version	ALTIBASE HDB all versions	ALTIBASE HDB; all versions	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	25	covered	No English change required.	English preserves all Altibase versions as the version scope.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	31	37	S029-F09-22-U004	cause	ERR-21011 occurs with mismatched comparison data types in TO_NUMBER, CAST, comparison operators, or impossible automatic casting	TO_NUMBER; CAST; comparison operators; automatic casting	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	31	covered	No English change required.	English preserves the conversion-function, comparison-operator, and automatic-casting causes.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	39	50	S029-F09-22-U005	example	UNION or UNION ALL mapped columns with different data types cause ERR-21011	SELECT 0 from DUAL; UNION; SELECT 'A' from DUAL; ERR-21011	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	39	covered	No English change required.	English preserves Case 1 and the exact UNION example output.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	52	61	S029-F09-22-U006	example	TO_NUMBER receives a character value that cannot be converted to numeric type	TO_NUMBER('1-1'); DUAL; ERR-21011	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	52	covered	No English change required.	English preserves Case 2 and the exact TO_NUMBER example.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	63	76	S029-F09-22-U007	example	CHAR column compared with numeric data succeeds while all values can be auto-converted	CREATE TABLE T (NO CHAR(1)); SELECT * FROM T WHERE NO = 1; SQL_SUCCESS	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	63	covered	No English change required.	English preserves Case 3 setup and the successful numeric comparison before invalid data is inserted.	none	S029 direct inspection.
S029	faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md	78	82	S029-F09-22-U008	example	after inserting 'A', comparing CHAR NO to numeric 1 causes Invalid literal	INSERT INTO T VALUES('A'); SELECT * FROM T WHERE NO = 1; ERR-21011	FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	78	covered	No English change required.	English preserves the invalid nonnumeric character example.	none	S029 direct inspection.
