job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	1	17	S025-F07-01-U001	metadata	title/source metadata and generated navigation	9110022; APRE*C/C++; SQLCLI; 2025-08-07	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter, title, source metadata, and generated navigation.	none	Export metadata and TOC are not technical API behavior.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	19	23	S025-F07-01-U002	overview	application connection disconnection cases and per-situation error codes/messages	connection disconnection; error code; error message	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	19	covered	No English change required.	English overview states that the page describes application connection disconnection cases and error codes/messages.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	25	30	S025-F07-01-U003	version_reference	ALTIBASE HDB 6.3.1 basis and update request link	ALTIBASE HDB 6.3.1; support.altibase.com/kr	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	25	covered	No English change required.	English preserves ALTIBASE HDB version 6.3.1 and uses the corresponding English support portal link.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	32	38	S025-F07-01-U004	connection_state	connection is not established when Connect was not performed	Connect; connection not established	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	32	covered	No English change required.	English lists "It is not connected" as a connection-not-established case.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	39	39	S025-F07-01-U005	connection_state	connection is not established after communication socket error or server-side disconnect	communication socket; server-side disconnection	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	39	covered	No English change required.	English preserves communication socket error or server-side disconnection.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	40	40	S025-F07-01-U006	connection_state	previously disconnected connection was not detected	previously disconnected connection	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	40	covered	No English change required.	English preserves the previously disconnected connection undetected case.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	41	42	S025-F07-01-U007	timeout_behavior	timeout disconnects except Query Timeout; Fetch Timeout, UTrans Timeout, Idle Timeout disconnect	Query Timeout; Fetch Timeout; UTrans Timeout; Idle Timeout	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	41	covered	No English change required.	English states Query Timeout does not disconnect while Fetch, UTrans, and Idle Timeout do.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	43	43	S025-F07-01-U008	connection_state	DB Server is shut down	DB Server shutdown	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	43	covered	No English change required.	English lists DB Server shutdown.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	44	44	S025-F07-01-U009	connection_state	connect failure because DB Server is shut down	Connect failure; DB Server shutdown	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	44	covered	No English change required.	English preserves connection failure because the DB server is shut down.	none	S025 direct inspection.
S025	faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md	46	55	S025-F07-01-U010	diagnostic_fields	APRE*C/C++ applications can check sqlca.sqlcode, sqlca.sqlerrm.sqlerrmc, SQLCODE, SQLSTATE	APRE*C/C++; sqlca.sqlcode; sqlca.sqlerrm.sqlerrmc; SQLCODE; SQLSTATE	FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	46	covered	No English change required.	English preserves all APRE*C/C++ diagnostic fields.	none	S025 direct inspection.
