job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	1	17	S013-D052-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical WAS integration content.	none	English target has its own metadata and generated navigation.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	19	30	S013-D052-U002	overview_support	WebSphere integration purpose, tested versions, support portal and center	Altibase v7.1.0; WebSphere v9.0; support.altibase.com; 02-2082-1114	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	19	covered	No English change required.	English overview preserves the integration scope, version basis, support portal, and support center.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	32	36	S013-D052-U003	boilerplate	information-only disclaimer, roadmap discretion, and intellectual-property notice	disclaimer; roadmap; intellectual property	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change WebSphere integration semantics.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	38	68	S013-D052-U004	installation	WebSphere installation chapter and IBM Installation Manager download sequence	IBM Installation Manager 1.8.5; Java; Internet Explorer; install.exe; IBM download URL	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	30	covered	No English change required.	English preserves the WebSphere installation scope, IBM Installation Manager prerequisite, download URL, Java and Internet Explorer notes, and install.exe step.	none	Embedded screenshots are source-exported illustrations; procedural text is represented.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	82	133	S013-D052-U005	installation	WebSphere repository URLs, package selection, installation path, customization toolbox, profile creation, management security, installation summary	WAS V9; WAS ND V9; IBM WebSphere Application Server; WebSphere Customization toolbox 9.0; Create Profile; management security	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	64	covered	No English change required.	English preserves repository URLs, package selection, install path selection, toolbox/profile steps, management security behavior, and installation-summary check.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	135	143	S013-D052-U006	directory_structure	WebSphere directory structure, WAS_INSTALL_ROOT, C:\IBM\WebSphere\AppServer, Profile concept, Profiles directory	WAS_INSTALL_ROOT; C:\IBM\WebSphere\AppServer; ${WAS_INSTALL_ROOT}; Profile; Profiles	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	117	added	Updated English source.	English preserves WAS_INSTALL_ROOT and Profile concepts; S013 corrected unclear directory-introduction wording.	none	English updated in S013.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	148	148	S013-D052-U007	table_row	bin provides server start and shutdown scripts	bin; server execution; shutdown scripts	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	142	covered	No English change required.	English table preserves bin script purpose.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	149	149	S013-D052-U008	table_row	config provides XML settings such as resource.xml	config; resource.xml; XML	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	143	covered	No English change required.	English table preserves config and resource.xml meaning.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	150	150	S013-D052-U009	table_row	configuration provides Eclipse OSGi or runtime configuration files	configuration; Eclipse; osgi; runtime	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	144	covered	No English change required.	English table preserves configuration row meaning.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	151	151	S013-D052-U010	table_row	etc provides security key values and key DB	etc; security; Key DB	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	145	covered	No English change required.	English table preserves etc row meaning.	none	S013 direct inspection.
S013	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	152	152	S013-D052-U011	table_row	installableApps provides installable applications	installableApps; Application	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	146	covered	No English change required.	English table preserves installableApps row meaning.	none	S013 direct inspection.
