job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S031	faq/Home/01. 설치, 패치, 업그레이드/01-03. 알티베이스 클라이언트 설치 방법(ALTIBASE HDB 5.5.1 부터)__8455011.md	32	32	S031-L001	support_reference	- [http://support.altibase.com/kr/product](http://support.altibase.com/kr/product) 페이지에서 클라이언트 설치 파일 다운로드 합니다.	http://support.altibase.com/kr/product; http://support.altibase.com/kr/product	FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	32	covered	No English change required; Korean support URL is represented by English support/manual reference or translated reference context.	English target preserves a localized/support or manual reference for the Korean support URL.	none	S031 direct link scan.
S031	faq/Home/01. 설치, 패치, 업그레이드/01-03. 알티베이스 클라이언트 설치 방법(ALTIBASE HDB 5.5.1 부터)__8455011.md	33	33	S031-L002	support_reference	- 설치하고자 하는 버전의 클라이언트가 없는 경우 02-2082-1114 또는 [http://support.altibase.com/kr/](http://support.altibase.com/kr/) 에서 고객서비스 -> 기술지원 요청 메뉴를 통해 요청해주세요.	http://support.altibase.com/kr/; http://support.altibase.com/kr/	FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	32	covered	No English change required; Korean support URL is represented by English support/manual reference or translated reference context.	English target preserves a localized/support or manual reference for the Korean support URL.	none	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	35	35	S031-L003	support_reference	- 기술지원포털 : [http://support.altibase.com](http://support.altibase.com/) ▶ 기술 지식 ▶ Q&A	http://support.altibase.com; http://support.altibase.com/	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md		not_applicable	Generic Korean support portal link was not carried as technical content.	Primary FAQ audit covers the technical content; this generic support portal URL is not a source attachment.	generic Korean support URL omitted	S031 classified as nontechnical support portal boilerplate/reference.
S031	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	52	52	S031-L004	external_reference	URL : [https://docs.redhat.com/ko/documentation/red_hat_enterprise_linux/8/html/system_design_guide/changing-selinux-states-and-modes_system-design-guide#changing-seli...	https://docs.redhat.com/ko/documentation/red_hat_enterprise_linux/8/html/system_design_guide/changing-selinux-states-and-modes_system-design-guide#changing-selinux-states-and-modes_system-design-guide; https://docs.redhat.com/ko/documentation/red_hat_enterprise_linux/8/html/system_design_guide/changing-selinux-states-and-modes_system-design-guide#changing-selinux-states-and-modes_system-design-guide	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	41	covered	No English change required; localized external source URL is represented by English equivalent.	English target uses the equivalent English Red Hat SELinux documentation URL.	none	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	49	49	S031-L005	internal_cross_reference	3. **이중화 대상 테이블을 대상으로 작업할 경우 이중화 환경에서의 DDL 작업절차에 따라서 작업을 해야 합니다. [알티베이스 이중화 대상 테이블에 대한 DDL 작업절차](http://aid.altibase.com/x/CwKB) 를 참고하십시요.**	알티베이스 이중화 대상 테이블에 대한 DDL 작업절차; http://aid.altibase.com/x/CwKB	FAQE/Home/02. Operation and Management/How to modify column__16875952.md		covered	No English change required; translated topic/reference context is preserved, exact Korean Confluence URL is not required.	Primary semantic audit covers the referenced FAQ topic or identifier in the English target.	none	S031 treats Korean-only Confluence shortlinks as reference context, not required exact URLs.
S031	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	78	78	S031-L006	support_reference	보다 자세한 사용법에 관한 내용은 [SQL Reference Manual](http://support.altibase.com/manual/kr/631b/html/SQL%20Reference/wwhelp/wwhimpl/js/html/wwhelp.htm) 에서 modify column 사용법을 참고하십시요.	SQL Reference Manual; http://support.altibase.com/manual/kr/631b/html/SQL%20Reference/wwhelp/wwhimpl/js/html/wwhelp.htm	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	82	covered	No English change required.	Exact support/manual URL preserved: http://support.altibase.com/manual/kr/631b/html/SQL%20Reference/wwhelp/wwhimpl/js/html/wwhelp.htm	none	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-08. HP-UX에서 부팅 시 알티베이스를 자동으로 시작(startup)하는 방법__9110724.md	50	50	S031-L007	export_artifact_link	PATH=$ALTIBASE_HOME/[bin:/usr/bin:/sbin](http://bin/usr/bin:/sbin); export PATH	bin:/usr/bin:/sbin; http://bin/usr/bin:/sbin	FAQE/Home/02. Operation and Management/How to startup Altibase automatically when booting from HP-UX__16875976.md	51	source_limitation	Do not preserve fake HTTP URL; keep the identifier or path as plain text/code in English.	English preserves identifier/path without the fake URL: PATH=$ALTIBASE_HOME/bin:/usr/bin:/sbin; export PATH	source export auto-linked code or path text as a fake URL	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-09. IPC 통신을 위한 알티베이스 서버 설정__9110665.md	31	31	S031-L008	support_reference	각 통신 방법에 대한 설명은 자세한 내용은 [http://support.altibase.com/kr/manual](http://support.altibase.com/kr/manual) 에서 사용하고 있는 버전의 매뉴얼의 Administrator's Manual 에서 '12. 서버/클라이언트 통신' ...	http://support.altibase.com/kr/manual; http://support.altibase.com/kr/manual	FAQE/Home/02. Operation and Management/Altibase Server Configuration for IPC Communication__22642933.md	36	covered	No English change required; Korean support URL is represented by English support/manual reference or translated reference context.	English target preserves a localized/support or manual reference for the Korean support URL.	none	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-09. IPC 통신을 위한 알티베이스 서버 설정__9110665.md	126	126	S031-L009	support_reference	응용 프로그램에서의 연결 속성 설정 방법은 [http://support.altibase.com/kr/manual](http://support.altibase.com/kr/manual) 에서 사용하고 있는 버전의 매뉴얼을 참조하십시오.	http://support.altibase.com/kr/manual; http://support.altibase.com/kr/manual	FAQE/Home/02. Operation and Management/Altibase Server Configuration for IPC Communication__22642933.md	36	covered	No English change required; Korean support URL is represented by English support/manual reference or translated reference context.	English target preserves a localized/support or manual reference for the Korean support URL.	none	S031 direct link scan.
S031	faq/Home/02. 운영 및 관리/02-12. MEM_MAX_DB_SIZE 프로퍼티 설정 변경__8454891.md	99	99	S031-L010	legacy_hash_label	IE 에서 SQL 문장을 복사하면 빈 줄이 생길 수 있으니 필요 시 첨부 파일을 사용하시기 바랍니다. total_memory_tablespaces_usage.txt (legacy # label)	total_memory_tablespaces_usage.txt; #	FAQE/Home/02. Operation and Management/What is MEM_MAX_DB_SIZE__16875991.md	97	source_limitation	Do not invent a URL; preserve filename as plain text.	English keeps total_memory_tablespaces_usage.txt as plain text; Korean source uses only (#).	no downloadable URL in Korean source	S031 direct link scan.
