job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	1	11	S017-D038-U001	metadata	--- title: "38. Altibase VC 2008 개발가이드" page_id: "19333567" space_key: "DOCK" space_name: "Technical Documents(한국어)" source_url: "https://docs.altibase.com/pages/viewpage.action?pageId=19333567" updated_at: "2023-11-0...	https://docs.altibase.com/pages/viewpage.action?pageId=19333567"; DOCK; Altibase; 38; 2008; 19333567; 2023; 11	arch/Home/Altibase VC 2008 Development Guide__19333567.md	14	not_applicable	Excluded from technical coverage.	English target has its own translated front matter.	none	Export metadata is not technical content.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	13	13	S017-D038-U002	heading	# 38. Altibase VC 2008 개발가이드	Altibase; 38; 2008	arch/Home/Altibase VC 2008 Development Guide__19333567.md	14	covered	No English change required.	# Altibase VC 2008 Development Guide	none	S017 direct inspection.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	14	14	S017-D038-U003	paragraph	Source: https://docs.altibase.com/pages/viewpage.action?pageId=19333567	https://docs.altibase.com/pages/viewpage.action?pageId=19333567; 19333567	arch/Home/Altibase VC 2008 Development Guide__19333567.md	14	not_applicable	Excluded from technical coverage.	English target preserves page source metadata separately.	none	Export source/update metadata is not technical content.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	15	15	S017-D038-U004	paragraph	Updated: 2023-11-02T13:34:22.000+0900	2023; 11; 34; 22.000; 0900	arch/Home/Altibase VC 2008 Development Guide__19333567.md	14	not_applicable	Excluded from technical coverage.	English target preserves page source metadata separately.	none	Export source/update metadata is not technical content.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	17	17	S017-D038-U005	list_item	- [개요](#id-38.AltibaseVC2008개발가이드-개요) - [Visual C++ 개발 가이드 문서](#id-38.AltibaseVC2008개발가이드-VisualC++개발가이드문서)	38	arch/Home/Altibase VC 2008 Development Guide__19333567.md	14	not_applicable	Excluded from technical coverage.	English target has generated navigation for the translated headings.	none	Generated Confluence table of contents/navigation.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	19	19	S017-D038-U006	heading	# 개요	section semantics	arch/Home/Altibase VC 2008 Development Guide__19333567.md	20	covered	No English change required.	# Overview	none	S017 direct inspection.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	23	23	S017-D038-U007	paragraph	본 문서에서는 Altibase를 사용하여 Visual C++ 2008 개발 가이드 입니다.	2008	arch/Home/Altibase VC 2008 Development Guide__19333567.md	24	covered	No English change required.	This document is a Visual C++ 2008 development guide for using Altibase.	none	S017 direct inspection.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	25	25	S017-D038-U008	paragraph	이 문서와 관련된 오류 및 개선사항은 기술지원포털 또는 기술지원센터로 문의주시기 바랍니다.	section semantics	arch/Home/Altibase VC 2008 Development Guide__19333567.md	20	covered	No English change required.	# Overview	none	S017 direct inspection.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	27	27	S017-D038-U009	support	- 기술지원포털 : [http://support.altibase.com](http://support.altibase.com/) ▶ 기술 지식 ▶ Q&A	http://support.altibase.com; http://support.altibase.com/	arch/Home/Altibase VC 2008 Development Guide__19333567.md	28	covered	No English change required.	- Technical support portal: [http://support.altibase.com](http://support.altibase.com/) > Technical Knowledge > Q&A	none	S017 direct inspection.
S017	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	28	28	S017-D038-U010	support	- 기술지원센터 : 02-2082-1114	02; 2082; 1114	arch/Home/Altibase VC 2008 Development Guide__19333567.md	29	covered	No English change required.	- Technical support center: 02-2082-1114	none	S017 direct inspection.
