job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	1	17	S003-D020-U001	metadata	front matter, Source URL, Updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Altibase Configuration File Guide__22642991.md	1	not_applicable	Export metadata and Confluence anchor syntax are not technical source content; English has its own page metadata and TOC.	English page has its own source_url, Updated stamp, and English TOC.	none	S003 direct inspection; technical units start at overview.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	19	25	S003-D020-U002	heading_paragraph	Altibase 설정 파일 가이드 overview and Altibase 7.1.0/7.3.0 basis	altibase.properties; Altibase 7.1.0; Altibase 7.3.0	arch/Home/Altibase Configuration File Guide__22642991.md	19	covered	English overview preserves purpose and version basis.	This document describes the properties of the altibase.properties file... based on Altibase versions 7.1.0 and 7.3.0.	none	S003 direct inspection.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	27	35	S003-D020-U003	external_reference	Recommended system resource and replication guides plus support portal/center	https://docs.altibase.com/x/n4HW; https://docs.altibase.com/x/AgDT; support.altibase.com; 02-2082-1114	arch/Home/Altibase Configuration File Guide__22642991.md	27	covered	English preserves both recommended document links and support contacts.	System Resource Capacity Planning Guide... Altibase Replication Configuration Guide... Technical support portal... Technical support center.	none	S003 direct inspection.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	37	41	S003-D020-U004	boilerplate	Legal/warranty and product roadmap boilerplate	정보 제공; 예고 없이 변경; 지적 재산권	arch/Home/Altibase Configuration File Guide__22642991.md	0	not_applicable	Nontechnical legal boilerplate is intentionally not required for English technical coverage in this workflow.	No technical configuration procedure, identifier, command, or warning is omitted.	none	Same handling as previous pass2 scope.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	43	51	S003-D020-U005	heading_paragraph	Altibase configuration items and version-specific General Reference/manual link	General Reference; http://support.altibase.com/kr/manual	arch/Home/Altibase Configuration File Guide__22642991.md	35	covered	English points to General Reference/manual location for detailed property descriptions.	For a more detailed description of each property, please refer to the General Reference manual.	none	English uses current English manual repository link.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	53	63	S003-D020-U006	sql_block	Property lookup with v$property and file lookup hidden-property limitation	SELECT name, value1 FROM v$property; $ALTIBASE_HOME/conf/altibase.properties	arch/Home/Altibase Configuration File Guide__22642991.md	45	covered	English preserves SQL lookup and recommends SQL for hidden/current values.	Each property can be inquired... SELECT name, value1 FROM v$property... hidden property values are not known.	none	S003 direct inspection.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	65	69	S003-D020-U007	error_code	Property changes via config or DCL and read-only error	ALTER SYSTEM; ALTER SESSION; ERR-0104E; propery_name	arch/Home/Altibase Configuration File Guide__22642991.md	57	covered	English preserves DCL change methods and the read-only error text.	DCL statement (ALTER SYSTEM/ALTER SESSION)... [ERR-0104E: The property [propery_name] is read-only.]	none	Korean source typo `propery_name` preserved as source error text.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	71	89	S003-D020-U008	command_block	Configuration assignment format, ALTER examples, restart persistence, and `?` placeholder	PORT_NO = 20300; query_timeout; $ALTIBASE_HOME; ?	arch/Home/Altibase Configuration File Guide__22642991.md	63	covered	English preserves assignment syntax, ALTER examples, restart behavior, and `?` meaning.	Property name = Property value... ALTER SYSTEM SET query_timeout = 30... `?` placeholder means `$ALTIBASE_HOME`.	none	S003 direct inspection.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	91	95	S003-D020-U009	paragraph	Configuration recommendation should be based on categories and prior consultation with Altibase engineers	$ALTIBASE_HOME/conf/altibase.properties; Altibase engineers	arch/Home/Altibase Configuration File Guide__22642991.md	81	covered	English preserves category-based recommendations and consultation caution.	Each item... summarized by each category... recommended to change and apply the configuration file with prior consultation with Altibase engineers.	none	S003 direct inspection.
S003	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	97	108	S003-D020-U010	table_rows	Example disk-volume assumptions for DB creation minimum properties	/home/altibase; /home/altidata; /home/altilog	arch/Home/Altibase Configuration File Guide__22642991.md	89	covered	English preserves three disk-volume table rows.	/home/altibase... /home/altidata... /home/altilog.	none	S003 groups the three table rows because they form one assumption table.
