mapping_id	ko_path	source_type	en_target_paths	assigned_audit_job	primary_owner_job	supporting_jobs	previous_evidence_refs	path_validation	notes
D020	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	technical_doc	arch/Home/Altibase Configuration File Guide__22642991.md	S003	S003	S005; S019	KO_EN_DOC_REVIEW_REPORT.md J002/J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P202/P204	exists	Duplicate source: S003 owns full audit; S005 may add operation-specific cross-reference rows only.
D021	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	technical_doc	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	S004	S004	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P203	exists	none
D022	DOCK/Home/22. Altibase 운영을 위한 Solaris 설정 가이드__11698415.md	technical_doc	arch/Home/Solaris Setup Guide for Altibase__14058290.md; arch/Home/Solaris Setup Guide for Altibase/1. Kernel Parameters__22643040.md; arch/Home/Solaris Setup Guide for Altibase/2. User Settings__14058294.md; arch/Home/Solaris Setup Guide for Altibase/3. Summary__14058296.md	S004	S004	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P203	exists	Split English target.
D023	DOCK/Home/23. Altibase 운영을 위한 HPUX 설정 가이드__14057733.md	technical_doc	arch/Home/HPUX Setup Guide for Altibase__14058288.md	S004	S004	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P203	exists	none
D024	DOCK/Home/24. Altibase 운영을 위한 AIX 설정 가이드__13436846.md	technical_doc	arch/Home/AIX Setup Guide for Altibase__14058298.md	S004	S004	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P203	exists	none
D025	DOCK/Home/25. Altibase 데이터베이스 생성 가이드__13436812.md	technical_doc	arch/Home/Creating ALTIBASE Database__22643020.md	S003	S003	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P202	exists	none
D026	DOCK/Home/26. Altibase 기본적인 장애대응 절차__13435879.md	technical_doc	arch/Home/Responding to Failures Guide for Altibase__15138818.md; arch/Home/Responding to Failures Guide for Altibase/1. Classification by type of failure__15138822.md; arch/Home/Responding to Failures Guide for Altibase/2. Procedure by type of failure__15138835.md; arch/Home/Responding to Failures Guide for Altibase/3. References__15138869.md	S005	S005	S009; S019	KO_EN_DOC_REVIEW_REPORT.md J003/J004; PASS2_KO_EN_DOC_REVIEW_REPORT.md P204/P208	exists	Duplicate source: S005 owns full audit; S009 may add backup/recovery-specific cross-reference rows only.
D027	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	technical_doc	arch/Home/Altibase Replication Configuration Guide__14647672.md	S008	S008	S019	KO_EN_DOC_REVIEW_REPORT.md J004; PASS2_KO_EN_DOC_REVIEW_REPORT.md P207	exists	none
D028	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	technical_doc	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md; arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md; arch/Home/TOMCAT Integration Guide for Altibase/2. JDBC Driver Configuration__14058500.md; arch/Home/TOMCAT Integration Guide for Altibase/3. Integrating ALTIBASE and TOMCAT__14058506.md; arch/Home/TOMCAT Integration Guide for Altibase/4. Fail-Over Configuration__14058508.md; arch/Home/TOMCAT Integration Guide for Altibase/5. Considerations when integrating TOMCAT__22643044.md; arch/Home/TOMCAT Integration Guide for Altibase/6. Errors when integrating TOMCAT__14058515.md	S012	S012	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D029	DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	technical_doc	arch/Home/JEUS Integration Guide for Altibase__14058459.md; arch/Home/JEUS Integration Guide for Altibase/1. JEUS Installation__14058463.md; arch/Home/JEUS Integration Guide for Altibase/2. Integrating ALTIBASE and JEUS__14058474.md; arch/Home/JEUS Integration Guide for Altibase/3. Sample Examples__14058486.md	S012	S012	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
