source_path	unit_id	issue_type	description	action	final_status	notes
arch/Home/AIX Setup Guide for Altibase__14058298.md	R005-AIX-008	source_limitation	The AIX source says PTHREAD_FORCE_SCOPE_SYSTEM must be set because it is related to the MxN thread model, but it does not provide an exact example value.	Preserved the requirement and explicitly stated that the source does not provide an exact example value.	accepted_source_limitation	Matches pass2 remaining risk; no value was invented.
arch/Home/System Data Capacity Estimation Guide for Altibase Operations__22643042.md	R007-CAPACITY-014	source_limitation	The disk DB sizing source lists Index Header Length as 10 BYTES in one table and later states that the header size for indexes is 16 bytes.	Preserved both source values in the topic document and marked the exact index-header constant as requiring source confirmation before use in precise sizing.	accepted_source_limitation	No value was invented or normalized; answer text should mention the source limitation when exact index header sizing matters.
FAQE/Home/02. Operation and Management/What is MEM_MAX_DB_SIZE__16875991.md	R008-MEMMAX-005	legacy_attachment_label_only	The source references total_memory_tablespaces_usage.txt, but the Korean source provides only a legacy label and no downloadable URL.	Preserved the filename label in the topic document and attachment register without inventing a URL.	accepted_source_limitation	Matches source-stabilization/legacy-attachments.tsv and url-backed-attachments.tsv evidence for faq/Home/02. 운영 및 관리/02-12.
FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	R010-FAQ-CONFLICT-042	source_variation	The conflict FAQ examples reference $ALTIBASE_HOME/trc/altibase_rp.log, while the replication constraints guide says RP_MSGLOG_FLAG writes conflicting table and SQL information to $ALTIBASE_HOME/trc/altibase_rp_conflict.log.	Preserved both filenames in the topic document and instructed answers to keep the applicable source or version context instead of normalizing one away.	accepted_source_limitation	The source set is internally variant on conflict log filename; no source document was edited in R010.
FAQE/Home/08. Monitoring/How to set up and execute altimon__16876266.md	R011-ATTACH-LEGACY-001	legacy_attachment_label_only	The source references ALTIMON USER GUIDE as a legacy hash-only label, while the English page also contains a separate downloadable ALTIMON_USER_GUIDE.pdf URL.	Preserved the legacy label as legacy_no_downloadable_url and registered the PDF URL separately.	accepted_source_limitation	Matches source-stabilization/legacy-attachments.tsv and url-backed-attachments.tsv evidence for faq/Home/08. 모니터링/08-10.
FAQE/Home/08. Monitoring/How to set up and execute altimon__16876266.md	R011-ALTIMON-PACKAGE-LABELS-002	source_variation	The source package list includes platform labels and archive names that should not be normalized without source confirmation.	Preserved the exact package filenames and labels from the source in the exact catalog and attachment register.	accepted_source_limitation	No synthetic package mapping was introduced.
arch/Home/Altibase CPU Overload Analysis Guide/2. General Analysis Procedure__14647591.md	R012-CPU-GENERAL-005	source_variation	The CPU general-analysis page says some Altibase 6 versions `6.1.1.6.1` or later can automatically collect optimizer statistics, while the CPU summary page says older versions `6.1.1` or earlier.	Preserved each scoped version wording in the topic document and marked the inconsistency in version-specific notes.	accepted_source_limitation	Matches PASS2 P206 remaining risk; no version boundary was normalized.
arch/Home/Altibase CPU Overload Analysis Guide/5. Summary__14647615.md	R012-CPU-SUMMARY-003	source_variation	The CPU summary optimizer-statistics wording differs from the general-analysis page.	Preserved the summary-page wording separately and cross-referenced the inconsistency.	accepted_source_limitation	No recheck required because both source variants are represented.
arch/Home/Altibase Memory Usage Increase Analysis Guide/1. Routine Check of Memory Usage__14647392.md	R012-MEM-ROUTINE-003	source_variation	The memory routine checklist labels one row as transaction throughput but uses a V$MEMSTAT SQL example.	Preserved the SQL as memory-diagnostic evidence and described the row in the memory routine context.	accepted_source_limitation	Matches PASS2 P206 remaining risk; no source document was edited in R012.
arch/Home/Altibase Development Guide/4. CLIENT APPLICATION Error Messages__14058547.md	R013-ATTACH-004	legacy_attachment_label_only	The Development Guide error-message chapter lists `ALTIBASE_개발가이드.pdf` and `ALTIBASE_개발가이드_5.3.pdf` as Korean source legacy document placeholders without downloadable URLs.	Preserved the exact filenames as legacy labels in the topic document and attachment register without inventing URLs.	accepted_source_limitation	Matches source-stabilization/legacy-attachments.tsv classification for DOCK/Home/36.
FAQE/Home/09. Error Messages/ERR-4103C (266300) Request of fetching data to an unprepared SQL statement__16876347.md	R013-CURSOR-BUFFER-001	source_variation	The cursor fetch-across-commit sources give source-specific communication buffer sizes: ERR-4103C says Altibase 4.3.9 is 64 KB, Not found data says Altibase 5 and later is 64 KB, and ERR-410D2 says Altibase 5 and later is 32 KB.	Preserved the source-specific values and instructed answers to keep the value tied to the cited source rather than normalizing one value across all versions.	accepted_source_limitation	No source document was edited; no recheck is required because each variant is represented.
FAQE/Home/Altibase Error Messages__6979655.md	R014-ENGLISH-ONLY-CATALOG	english_only_auxiliary	Altibase Error Messages parent and child pages are outside Korean-core FAQ semantic verification.	Integrated and labeled as English-only source in troubleshooting reference and coverage rows.	accepted_english_only_auxiliary	Do not apply Korean-source validation labels.
FAQE/Home/ALTIBASE HDB Troubleshooting	R014-ENGLISH-ONLY-TROUBLESHOOTING	english_only_auxiliary	ALTIBASE HDB Troubleshooting pages are outside Korean-core FAQ semantic verification.	Integrated and labeled as English-only source in troubleshooting reference and coverage rows.	accepted_english_only_auxiliary	Do not apply Korean-source validation labels.
FAQE/Home/ALTIBASE HDB Troubleshooting/Cannot insert new records after deleting bulk records__2557870.md	R014-DIAGRAMS-BULK-DELETE	diagram_unavailable	Four Gliffy diagrams are unavailable in the source export.	Registered as diagram_unavailable; text preserved without reconstructing diagrams.	accepted_source_limitation	No downloadable or image URL in source repository.
FAQE/Home/ALTIBASE HDB Troubleshooting/The number of logfiles grows rapidly__1802691.md	R014-DIAGRAMS-LOGFILES	diagram_unavailable	Two Gliffy diagrams are unavailable in the source export.	Registered as diagram_unavailable; text preserved without reconstructing diagrams.	accepted_source_limitation	No downloadable or image URL in source repository.
FAQE/Home/ALTIBASE HDB Performance Tuning	R016-ENGLISH-ONLY-PERFORMANCE	english_only_auxiliary	ALTIBASE HDB Performance Tuning pages are outside Korean-core FAQ semantic verification.	Integrated into the SQL/performance tuning reference with English-only source labels and english_only_auxiliary semantic-unit rows.	accepted_english_only_auxiliary	Do not apply Korean-source validation labels; later English-only reconciliation can cross-check this coverage.
arch/Home/APRE_C_C++ New Features & Upgrade Guide__22643052.md	R017-APRENEW-010	legacy_attachment_label_only	The source references APRE_New_Features_업그레이드_가이드.pdf as a legacy # placeholder with no downloadable URL.	Preserved the filename label in the topic document and attachment register without inventing a URL.	accepted_source_limitation	Matches source-stabilization/legacy-attachments.tsv and url-backed-attachments.tsv evidence for DOCK/Home/44.
arch/Home/Altibase Precompiler Guide/3. APRE Sample Program__14647488.md	R017-APRE-SAMPLE-002	source_sample_caution	The exported Testsample.sc source contains obvious non-compilable tokens such as EXC SQL, INTEGE, inconsistent error_do/Error_do capitalization, and AUTOCOMMIT = FALSE:.	Preserved the sample as an illustrative source pattern and added a caution not to copy it blindly as compile-ready code.	accepted_source_limitation	No source document was edited; answer generation should use the corrected syntax rules elsewhere in R017 topic.
