job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	1	11	S020-F01-01-U001	metadata	title/page_id/source metadata for Korean FAQ 01-01	9110736; FAQ; 2025-08-06	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	1	not_applicable	Excluded from technical coverage.	English target has its own translated front matter.	none	Export metadata is not technical content.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	13	13	S020-F01-01-U002	heading	# 01-01. Altibase HDB가 지원하는 플랫폼(OS)은?	Altibase HDB; platform; OS	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	13	covered	No English change required.	# What Platforms (OS) Altibase HDB supports?	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	14	15	S020-F01-01-U003	source_reference	Source and Updated export lines	source_url; updated_at	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	14	not_applicable	Excluded from technical coverage.	English target preserves its own source and update metadata.	none	Export source/update metadata is not technical content.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	17	17	S020-F01-01-U004	navigation	TOC links for 6.5.1, 6.3.1, 6.1.1, Java Version	6.5.1; 6.3.1; 6.1.1; Java Version	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	17	not_applicable	Excluded from technical coverage.	English target has equivalent generated navigation.	none	Generated Confluence table of contents/navigation.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	19	19	S020-F01-01-U005	heading	# **6.5.1**	6.5.1	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	19	covered	No English change required.	# **6.5.1**	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	23	24	S020-F01-01-U006	table_schema	OS, CPU, Version, Bit(Server), Bit(Client)	OS; CPU; Version; Bit(Server); Bit(Client)	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	23	covered	No English change required.	OS, CPU, Version, Bit(Server), Bit(Client)	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	25	25	S020-F01-01-U007	table_row	6.5.1 AIX PowerPC 6.1 tl03 or later server/client bits	AIX; PowerPC; 6.1 tl03; 64-bit; 32-bit	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	25	covered	No English change required.	AIX PowerPC 6.1 tl03 or later 64-bit 64-bit, 32-bit	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	26	26	S020-F01-01-U008	table_row	6.5.1 HP-UX IA64 11.31 or later server/client bits	HP-UX; IA64; 11.31; 64-bit; 32-bit	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	26	covered	No English change required.	HP-UX IA64 11.31 or later 64-bit 64-bit, 32-bit	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	27	27	S020-F01-01-U009	table_row	6.5.1 Linux x86/x86-64 glibc 2.12 with Ubuntu, Redhat, CentOS, Fedora, openSUSE, Oracle Linux	LINUX; x86; x86-64; GNU glibc 2.12; Ubuntu 12, 13; Redhat 6, 7; CentOS 6, 7; Fedora 7-21; openSUSE 12; Oracle Linux 6.5, 6.6, 7.1	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	27	covered	No English change required.	LINUX x86, x86-64 (GNU glibc 2.12 or later) Ubuntu 12, 13... Oracle Linux 6.5, 6.6, 7.1	none	S020 direct inspection.
S020	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	28	28	S020-F01-01-U010	table_row	6.5.1 SUN SPARC 2.10 or later server/client bits	SUN; SPARC; 2.10; 64-bit; 32-bit	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	28	covered	No English change required.	SUN SPARC 2.10 or later 64-bit 64-bit, 32-bit	none	S020 direct inspection.
