job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S034	DOCK/Home/31. Altibase 설치가이드__11698403.md	517	531	S034-C001	matrix_challenge	Challenge original covered row S003-D031-U025 for OS-specific MAC address lookup commands.	S003-D031-U025; ifconfig -a; lscfg -vp; /usr/sbin/lanscan; ipconfig /all; Physical Address	arch/Home/Altibase Installation Guide/3. License Key Request__14647666.md	25	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English table preserves Linux ifconfig, AIX lscfg, HP-UX lanscan, Windows ipconfig /all, and translated physical-address guidance.	none	S034 sample from installation/license table-heavy area.
S034	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	359	371	S034-C002	matrix_challenge	Challenge original covered row S004-D021-U023 for Direct I/O mount-option table.	S004-D021-U023; convosync=direct; Direct I/O is not supported; -o dio; Ext2/Ext3/Ext4	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	303	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English Direct I/O table preserves Solaris VxFS convosync, ZFS unsupported state, AIX -o dio, Windows, and Linux rows.	none	S034 sample from platform table-heavy area.
S034	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	1177	1341	S034-C003	matrix_challenge	Challenge original covered row S006-D059-U060 for TS03 disk tablespace usage SQL variants.	S006-D059-U060; TS03; V$TABLESPACES; V$DISK_UNDO_USAGE; SYS_UNDO_TBS_EXTENT_SIZE; V$UNDO_TBS	arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/8. Tablespace (TBS)__14058272.md	170	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English TS03 section preserves the title, version-specific SQL blocks, undo usage views, and column explanations.	none	S034 sample from SQL-heavy monitoring page.
S034	DOCK/Home/49. Altibase 이중화 제약사항 가이드__19333729.md	175	188	S034-C004	matrix_challenge	Challenge original covered row S008-D049-U018 for replication conflict error table.	S008-D049-U018; INSERT Conflict; DELETE Conflict; UPDATE Conflict; ERR-11058; ERR-61000; ERR-61035	arch/Home/Altibase Replication Constraints Guide__22643008.md	175	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English conflict table preserves the INSERT, DELETE, UPDATE rows and all three error codes.	none	S034 sample from replication error-code table.
S034	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	116	116	S034-C005	matrix_challenge	Challenge original covered row S009-D050-U021 for incomplete recovery criteria.	S009-D050-U021; Incomplete recovery; UNTIL CANCEL; UNTIL TIME; log file; date and time	arch/Home/Considerations for Altibase Backup Policy/2. Considerations for Determining Backup Policy__14647722.md	41	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English backup-policy table preserves incomplete recovery, UNTIL CANCEL, and UNTIL TIME semantics.	none	S034 sample from backup/recovery decision table.
S034	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	1022	1038	S034-C006	matrix_challenge	Challenge original covered row S010-D034-U040 for APRE error length and literal cases.	S010-D034-U040; SQLCODE=-135181; SQLCODE=-659469; SQLCODE=-135185; SQLCODE=-659473; to_number('A')	arch/Home/Altibase Precompiler Guide/4. Frequently Occurring Error Messages__22643006.md	67	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English error-message section preserves both SQLCODE pairs, over-length data input, invalid numeric literal causes, to_number example, and corrective actions.	none	S034 sample from APRE error-code page.
S034	DOCK/Home/66. Altibase PHP 연동가이드__7341461.md	96	103	S034-C007	matrix_challenge	Challenge original covered row S011-D066-U011 for PHP ODBC DSN configuration.	S011-D066-U011; [Altibase]; Driver; /home/altibase/altibase_home/lib/libaltibase_odbc.so; Server; 127.0.0.1; Port; 20300	arch/Home/PHP Integration Guide for Altibase/2. ODBC Manger Installation for PHP Integration__14647312.md	67	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English DSN block preserves the Altibase section, driver path, server IP, and port; exact-string scan needed whitespace-normalized key/value matching.	none	S034 sample from client API configuration block.
S034	DOCK/Home/36. Altibase 개발가이드__7341274.md	81	81	S034-C008	matrix_challenge	Challenge original covered row S016-D036-U018 for Lazy/Eager synchronization comparison.	S016-D036-U018; Synchronization; changed transaction log; peer server; Commit	arch/Home/Altibase Development Guide/1. Considerations when Designing__22642998.md	34	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English comparison row preserves Lazy log-transmission success semantics and Eager peer-commit synchronization semantics.	none	S034 sample from high-risk replication semantics inside development guide.
S034	DOCK/Home/40. Oracle to Altibase 변환가이드__7341605.md	464	464	S034-C009	matrix_challenge	Challenge original covered row S017-D040-U268 for sequence MAXVALUE limits.	S017-D040-U268; MAXVALUE; NOMAXVALUE; 28-digit integer; 9,223,372,036,854,775,806	arch/Home/ORACLE to ALTIBASE Conversion Guide__22643038.md	457	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English sequence table preserves Oracle 28-digit maxvalue and Altibase min/max range with comma-formatted numbers.	none	S034 sample from conversion table row.
S034	DOCK/Home/70. Migration Center 사용자 가이드__19955861.md	371	371	S034-C010	matrix_challenge	Challenge original covered row S017-D070-U190 where Korean source has menu path plus embedded screenshots.	S017-D070-U190; Migration Options; Migration > Migration Options; DB to DB; DB to File	arch/Home/Migration Center User Guide__19955861.md	288	covered	Inverse-searched identifiers and re-read KO/EN context; no source edit required.	English condensed guide preserves the actionable Migration Options access path and DB to DB/DB to File options.	image URLs intentionally omitted by condensed English; no coverage blocker	S017 note records screenshot-only image rows separately as not applicable; this challenged row carries procedural menu semantics.
