job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	1	17	S008-D027-U001	metadata	front matter, source URL, updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Altibase Replication Configuration Guide__14647672.md	1	not_applicable	Export metadata and generated TOC are not technical replication source content; English target keeps its own metadata and normalized TOC.	English target preserves its own metadata and navigation for the same guide.	none	Technical content starts at the overview.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	19	36	S008-D027-U002	overview	Non-stop service requires availability and performance; HA methods include disk sharing, network replication, and HA switchover; Altibase uses network replication and does not support disk sharing; basis is Altibase v7.1.0 or later	Altibase v7.1.0; disk sharing; network replication; HA solution	arch/Home/Altibase Replication Configuration Guide__14647672.md	19	covered	No English change required.	English overview preserves non-stop service considerations, HA methods, Altibase network-based replication, disk-sharing non-support, and Altibase 7.1.0-or-later basis.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	38	41	S008-D027-U003	support_contact	Technical support portal and technical support center	support.altibase.com; 02-2082-1114	arch/Home/Altibase Replication Configuration Guide__14647672.md	36	covered	No English change required.	English preserves the support portal, Technical Knowledge > Q&A path, and technical support center phone number.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	43	47	S008-D027-U004	boilerplate	Information-only disclaimer, roadmap discretion, and intellectual property notice	legal disclaimer; product roadmap; intellectual property	arch/Home/Altibase Replication Configuration Guide__14647672.md	36	not_applicable	Legal boilerplate does not alter technical replication configuration semantics; support contact is covered separately.	English technical target does not need Korean legal boilerplate for semantic technical coverage.	none	Handled consistently with prior semantic audit jobs.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	49	59	S008-D027-U005	heading_paragraph	High availability goal and node definition	High Availability; Node; service; network	arch/Home/Altibase Replication Configuration Guide__14647672.md	41	covered	No English change required.	English preserves the high-availability section purpose and defines a node as a network-connected server that can independently or jointly process service.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	61	65	S008-D027-U006	heading_paragraph	Fail-over definition and minimal downtime	Fail-over; downtime	arch/Home/Altibase Replication Configuration Guide__14647672.md	53	covered	No English change required.	English preserves fail-over as transferring service to a healthy node with minimal service downtime.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	67	78	S008-D027-U007	heading_list	High-availability service-system grouping and two goals	two or more nodes; performance degradation; minimal service downtime	arch/Home/Altibase Replication Configuration Guide__14647672.md	59	covered	No English change required.	English preserves grouping two or more nodes, avoiding significant performance degradation, and allowing only minimal downtime during fail-over.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	80	88	S008-D027-U008	table_image	DBMS high-availability methods table and disk-sharing introduction	Disk sharing method; Network replication method; disk_share.PNG	arch/Home/Altibase Replication Configuration Guide__14647672.md	70	covered	No English change required.	English table preserves disk sharing versus network replication method meanings and the disk-sharing image.	none	Image URL differs by English embedded-page export path but source image semantics are preserved.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	90	99	S008-D027-U009	paragraph_list	Disk-sharing master node behavior and three limitations	master node; buffer cache; shared disk; communication equipment	arch/Home/Altibase Replication Configuration Guide__14647672.md	79	covered	No English change required.	English preserves master-node buffer-cache coordination, read/change permission behavior, and the three performance/equipment/shared-disk failure limitations.	none	S008 direct inspection.
S008	DOCK/Home/27. Altibase 이중화 구성 가이드__13828098.md	100	108	S008-D027-U010	paragraphs	Network replication performance, separate DB continuity, data consistency limitation, and Altibase performance focus	90%; separate DB; data consistency; transaction logs	arch/Home/Altibase Replication Configuration Guide__14647672.md	87	covered	No English change required.	English preserves network replication as transaction-log transmission with 90% or higher single-system performance, continuity through separate DBs, the inability to guarantee 100% consistency, and the performance-oriented Altibase framing.	none	S008 direct inspection.
