source_path	source_class	primary_topic	secondary_topics	owner_job	mapped_status	notes
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	Korean-source-verified	llm-reference/01-installation-upgrade-platform.md	none	R004	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R004.
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Server Patch Procedure on Unix and Linux__16875922.md	Korean-source-verified	llm-reference/01-installation-upgrade-platform.md	none	R004	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R004.
FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	Korean-source-verified	llm-reference/01-installation-upgrade-platform.md	none	R004	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R004.
FAQE/Home/01. Installation, Patch, Upgrade/What to do when installing Altibase on Windows, and it says _It has already been installed__16875943.md	Korean-source-verified	llm-reference/01-installation-upgrade-platform.md	none	R004	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R004.
FAQE/Home/02. Operation and Management/Altibase Server Configuration for IPC Communication__22642933.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Automatic altibase startup during OS booting in Solaris__16875996.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Can PUBLIC SYNONYM be dropped__16875993.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Can table data be saved on disk and only indexes can be created in memory__16876008.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Database Security Checklist__22642935.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
