job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	1	17	S015-D058-U001	metadata	front matter, source URL, updated stamp, generated TOC	source_url; page_id; updated_at	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	1	not_applicable	Excluded from technical coverage.	Export metadata and generated navigation are not technical Hibernate integration content.	none	English target has its own metadata and title.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	19	30	S015-D058-U002	overview_support	Hibernate and Hibernate+Spring integration scope, AltibaseDialect porting, support portal and center	Hibernate; Hibernate+Spring; AltibaseDialect; support.altibase.com; 02-2082-1114	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	21	covered	No English change required.	English overview and support lines preserve the scope, AltibaseDialect purpose, support portal, and support center.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	32	36	S015-D058-U003	boilerplate	information-only disclaimer, roadmap discretion, intellectual-property notice	disclaimer; roadmap; intellectual property	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	0	not_applicable	Excluded from technical coverage.	Legal boilerplate does not change Hibernate integration semantics.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	38	42	S015-D058-U004	overview	Hibernate chapter introduces concept, features, download, and use	Hibernate concept; features; download	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	17	covered	No English change required.	English Hibernate overview preserves the chapter purpose.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	44	56	S015-D058-U005	concept	Hibernate ORM maps DBMS tables and Java objects for persistence and CRUD, architecture link	Hibernate; ORM; Java Persistence Object; JavaBean; CRUD; http://www.hibernate.org	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	30	covered	No English change required.	English preserves ORM, JavaBean mapping, CRUD DML, architecture image, and hibernate.org reference.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	58	64	S015-D058-U006	dependency	Hibernate jar files downloaded from Hibernate 5.4 release page; sample uses Hibernate 5.4.8	hibernate.org/orm/releases/5.4; Hibernate 5.4.8; hibernate-release-5.4.8.Final	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	44	covered	No English change required.	English preserves the release URL, jar/lib directory guidance, and 5.4.8 directory name.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	66	77	S015-D058-U007	overview	Sample requires hibernate-configuration XML and hibernate-mapping XML to map Java Persistence Objects and execute DML	hibernate-configuration XML; hibernate-mapping XML; Java Persistence Object; DML; appendix	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	50	covered	No English change required.	English preserves both required XML files and appendix reference.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	79	114	S015-D058-U008	code	Person.hbm.xml maps person table to Person class and sequence parameter may be sequence_name or sequence	Person.hbm.xml; hibernate-mapping; PERSON_SEQ; sequence_name; sequence; Person	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	63	added	Updated English source.	English now labels the example as Person.hbm.xml and preserves class/property mapping plus sequence parameter guidance.	none	Full XML block reviewed directly.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	116	155	S015-D058-U009	code	Hibernate.cfg.xml sets connection properties, dialect, current_session_context_class, show_sql, Person.hbm.xml mapping	Hibernate.cfg.xml; connection.driver_class; connection.url; connection.username; connection.password; org.hibernate.dialect.AltibaseDialect; current_session_context_class; show_sql; Person.hbm.xml	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	100	added	Updated English source.	English preserves the configuration XML and now states dialect and mapping resource semantics clearly.	none	S015 corrected malformed English around the dialect property.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	157	218	S015-D058-U010	code	Application obtains SessionFactory and Session, then calls save, update, delete, get, createCriteria	SessionFactory; Hibernate.cfg.xml; session.beginTransaction(); session.save(); session.update(); session.delete(); session.get(); session.createCriteria()	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	141	added	Updated English source.	English preserves DML flow and code; S015 corrected the sample title and missing semicolon in the SessionFactory example.	none	Full code block reviewed directly.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	220	226	S015-D058-U011	overview	Hibernate integration requires Altibase JDBC driver and Altibase dialect, and covers FailOver and multiple versions	Altibase JDBC driver; AltibaseDialect; FailOver; multiple Altibase versions	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	204	covered	No English change required.	English preserves the integration chapter scope.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	228	271	S015-D058-U012	procedure	Port AltibaseDialect into Hibernate jar by downloading files, compiling Altibase*.java, and rebuilding jar	ALTIBASE_DIALECT_PORTING.md; hibernate-core-x.x.x.Final.jar; AltibaseDialect.java; AltibaseLimitHandler.java; SequenceInformationExtractorAltibaseDatabaseImpl.java; javac; jar -cvfm	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	212	covered	No English change required.	English preserves GitHub URL, unzip, compile, and jar rebuild procedure.	none	Korean source has duplicated raw URL text after the markdown link; English keeps the usable link.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	273	301	S015-D058-U013	jdbc_driver	Altibase.jar and Altibase5.jar location, same-version rule, CM/CMP compatibility commands	Altibase.jar; Altibase5.jar; $ALTIBASE_HOME/lib; java -jar Altibase.jar; CMP:5.6.1; altibase -v; cm protocol version 5.6.1	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	251	covered	No English change required.	English preserves driver locations, compatibility rule, and both version command outputs.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	303	313	S015-D058-U014	procedure	Add Altibase.jar to classpath, web server, or Eclipse JRE System Library	Add External JARs; Altibase.jar; J2SE-1.5	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	276	covered	No English change required.	English preserves classpath/web-server placement and Eclipse Add External JARs procedure.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	315	369	S015-D058-U015	configuration	Configure Altibase properties and dialect in Hibernate.cfg.xml	connection.driver_class; connection.url; connection.username; connection.password; dialect; org.hibernate.dialect.AltibaseDialect; Person.hbm.xml	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	290	covered	No English change required.	English preserves the property table, sample XML, summary bullets, and required jar screenshot context.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	371	398	S015-D058-U016	failover	FailOver support from Altibase v5.3.3, URL example, and property table	Altibase v5.3.3; AlternateServers; ConnectionRetryCount; ConnectionRetryDelay; SessionFailOver=off; LoadBalance=off; STF; CTF	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	346	covered	No English change required.	English preserves FailOver URL properties, STF/CTF semantics, and required jar reference.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	400	456	S015-D058-U017	multi_version	Connect Altibase v5 with other versions by loading Altibase5.jdbc.driver.AltibaseDriver before Altibase.jdbc.driver.AltibaseDriver	Altibase5.jar; Altibase.jar; Hibernate.Altibase5.cfg.xml; Hibernate.Altibase7.cfg.xml; Altibase5.jdbc.driver.AltibaseDriver; Altibase.jdbc.driver.AltibaseDriver	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	375	added	Updated English source.	English preserves multi-version setup and now states connection.driver_class rather than the malformed connection.driver_driver_class.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	458	523	S015-D058-U018	spring_integration	Hibernate+Spring can use a Spring dataSource, sessionFactory bean, mappingResources, hibernateProperties, and personDao	SpringAltibaseConnection1; applicationContext.xml; DriverManagerDataSource; LocalSessionFactoryBean; mappingResources; hibernateProperties; personDao	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	433	added	Updated English source.	English preserves Spring dataSource setup and now uses clear Spring guide, mappingResources, and hibernateProperties terminology.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	525	574	S015-D058-U019	spring_integration	Hibernate+Spring can define connection information and dialect in hibernateProperties	SpringAltibaseConnection2; hibernate.connection.driver_class; hibernate.connection.url; hibernate.connection.username; hibernate.connection.password; hibernate.dialect; hibernate.show_sql	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	498	added	Updated English source.	English preserves the applicationContext.xml example and now clarifies mappingResources and hibernateProperties in the procedure text.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	576	602	S015-D058-U020	connection_pool	Altibase ConnectionPool requires Hibernate+Spring; Hibernate alone cannot use it	AltibaseConnectionPoolDataSource; ABConnectionPoolDataSource; Altibase.jdbc.driver.ABConnectionPoolDataSource; url; user; password	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	549	added	Updated English source.	English preserves the Spring-only limitation and source identifiers; narrative names AltibaseConnectionPoolDataSource while the sample preserves ABConnectionPoolDataSource.	source class-name inconsistency in Korean source	Korean prose names AltibaseConnectionPoolDataSource, while Korean sample code uses Altibase.jdbc.driver.ABConnectionPoolDataSource.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	604	647	S015-D058-U021	transaction	Hibernate transactions use Session.beginTransaction() and Transaction.commit()/rollback(); beginTransaction sets autocommit false	beginTransaction(); setAutoCommit(false); commit(); rollback(); session.flush(); PersonApp.java	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	576	covered	No English change required.	English preserves transaction handling, automatic setAutoCommit(false), and code sample.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	649	730	S015-D058-U022	lob	LOB mapping requires StringClobType/PrimitiveByteArrayBlobType and beginTransaction before LOB work, with exact errors	org.hibernate.type.StringClobType; org.hibernate.type.PrimitiveByteArrayBlobType; sql-type="clob"; sql-type="blob"; beginTransaction(); java.sql.SQLException; LobLocator can not span the transaction 101858625; Connection is in autocommit mode	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	621	added	Updated English source.	English preserves type mappings, autocommit warning, error text, and LobApp.java sample; S015 corrected unclear prose and java.sql casing.	none	Full code block reviewed directly.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	732	806	S015-D058-U023	procedure	Hibernate does not support Stored Procedure/Function directly; use Session connection and CallableStatement	sum_proc; sum_func; CallableStatement; {call sum_proc(?,?,?)}; {call ? := sum_func(?,?)}; java.sql.Types.NUMERIC	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	704	added	Updated English source.	English preserves procedure/function SQL and CallableStatement sample; S015 corrected the required-jar sentence.	none	Full SQL and Java blocks reviewed directly.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	808	856	S015-D058-U024	native_sql	Altibase-only MOVE can be executed as nativeSQL through hibernate-mapping and getNamedQuery	MOVE INTO t2; FROM t1; nativeSQLMove; getNamedQuery(); executeUpdate(); NativeSQLApp.java	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	774	added	Updated English source.	English preserves native SQL steps and code; S015 corrected NativeSQLApp.java and the hibernate-configuration reference.	none	Full code block reviewed directly.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	858	897	S015-D058-U025	appendix	Appendix introduces AltibaseConnection sample, creates PERSON table/sequence, and Eclipse project	AltibaseConnection; Eclipse; CREATE TABLE PERSON; CREATE SEQUENCE PERSON_SEQ; Java Project	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	818	covered	No English change required.	English preserves appendix purpose, DDL, and project creation steps.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	899	932	S015-D058-U026	appendix_code	Appendix creates Person.hbm.xml and maps boolean to CHAR(1) values 0/1	Person.hbm.xml; examples.domain.Person; PERSON_SEQ; CHAR(1); 0(false); 1(true)	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	859	covered	No English change required.	English preserves file creation, mapping XML, and boolean/CHAR(1) explanation.	none	S015 direct inspection.
S015	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	934	963	S015-D058-U027	appendix_code	Appendix creates Hibernate.cfg.xml for Altibase connection and dialect	Hibernate.cfg.xml; Altibase.jdbc.driver.AltibaseDriver; jdbc:Altibase://192.168.1.35:20300/mydb; sys; manager; org.hibernate.dialect.AltibaseDialect; Person.hbm.xml	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	899	covered	No English change required.	English preserves Hibernate.cfg.xml contents.	none	Full XML block reviewed directly.
