job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	1	17	S006-D059-U001	metadata	front matter, source URL, updated stamp, and exported TOC	source_url; page_id; updated_at	arch/Home/Altibase Monitoring Queries Guide__14058229.md	1	not_applicable	Export metadata and generated TOC are not technical source content; split English targets keep their own metadata.	English parent and split pages preserve their own source metadata and normalized navigation.	none	Technical content starts at the overview.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	19	39	S006-D059-U002	overview	Overview, three-section structure, General Reference recommendation, query-section shortcut, and ERD tool note	General Reference manual; monitoring query examples; CA ERwin Data Modeler; IDEF1X	arch/Home/Altibase Monitoring Queries Guide__14058229.md	17	covered	No English change required.	English overview preserves the monitoring guide purpose, three major sections, General Reference recommendation, query-section shortcut, and ERD/IDEF1X note.	none	Direct comparison against English parent overview.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	41	50	S006-D059-U003	boilerplate	Support portal, support center, legal disclaimer, product roadmap, and IP notices	support.altibase.com; 02-2082-1114	arch/Home/Altibase Monitoring Queries Guide__14058229.md	37	not_applicable	Contact and legal boilerplate do not alter technical monitoring semantics.	English parent carries its own feedback, support portal, and legal notice; no SQL, system view, warning, or attachment semantics are omitted.	none	Handled consistently with prior semantic audit jobs.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	52	57	S006-D059-U004	heading_paragraph	Altibase monitoring overview introduction	Altibase server monitoring	arch/Home/Altibase Monitoring Queries Guide/1. Altibase Server Monitoring Overview__14058232.md	19	covered	No English change required.	English overview states that the chapter describes the basic concepts required to monitor an Altibase server.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	58	72	S006-D059-U005	list_warning	Monitoring classification and internal-monitoring scope	internal monitoring; external monitoring; trace log monitoring; OS commands; trace logs	arch/Home/Altibase Monitoring Queries Guide/1. Altibase Server Monitoring Overview__14058232.md	21	covered	No English change required.	English preserves the three DBMS monitoring categories and emphasizes that this document covers internal monitoring queries.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	73	84	S006-D059-U006	list_definition	Data dictionary definitions for meta tables and performance views	SYSTEM_; SELECT; V$	arch/Home/Altibase Monitoring Queries Guide/1. Altibase Server Monitoring Overview__14058232.md	33	covered	No English change required.	English preserves meta table ownership by `SYSTEM_`, read-only `SELECT` access, performance-view SELECT-time status, and `V$` prefix.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	85	94	S006-D059-U007	list	Monitoring methods used in operations	shell scripts; applications; utilities	arch/Home/Altibase Monitoring Queries Guide/1. Altibase Server Monitoring Overview__14058232.md	46	covered	No English change required.	English preserves shell script, application, and utility monitoring methods.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	95	104	S006-D059-U008	heading_paragraph	Meta table and performance view overview purpose	meta table; performance view; ERD	arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview__14058238.md	19	covered	No English change required.	English preserves the need to understand data dictionary objects and the ERD relationship explanation.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	105	116	S006-D059-U009	image_note	ERD notation rules for performance views, FK-style join keys, colors, ID/META_ID shared attributes	ERD; FK; ID; META_ID; meta table; performance view	arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview__14058238.md	25	covered	No English change required.	English preserves the ERD notation caveat, yellow/white object distinction, and same-color indication for equivalent attributes such as `ID` and `META_ID`.	none	S006 direct inspection.
S006	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	117	126	S006-D059-U010	warning_list	Meta table and performance view caveats by Altibase version	Altibase version; column names; added or deleted views	arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview__14058238.md	33	covered	No English change required.	English preserves all three caveats: different column names, version-dependent column changes, and version-dependent table/view additions or deletions.	none	S006 direct inspection.
