job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	1	17	S022-F02-02-U001	metadata	title/source metadata and generated navigation	8454851; column modify; 2025-08-06	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and generated navigation.	none	Export metadata and TOC are not technical procedure content.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	19	23	S022-F02-02-U002	version_condition	ALTER TABLE MODIFY COLUMN supports changing column type and length from ALTIBASE HDB 5.3.3	ALTIBASE HDB 5.3.3; ALTER TABLE; MODIFY COLUMN	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	19	covered	No English change required.	Starting from Altibase HDB version 5.3.3, the column type and length... can be modified.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	25	31	S022-F02-02-U003	syntax	ALTER TABLE table_name MODIFY COLUMN syntax and modify_column.png diagram	ALTER TABLE; MODIFY COLUMN; modify_column.png	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	25	covered	No English change required.	ALTER TABLE *table_name*MODIFY COLUMN... modify_column.png.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	33	35	S022-F02-02-U004	option	TOLERATE DATA LOSS option allows type changes when non-NULL data may lose data	TOLERATE DATA LOSS; data loss; NULL	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	33	covered	No English change required.	If the table data is not NULL, data loss may occur... TOLERATE DATA LOSS option can be used.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	37	39	S022-F02-02-U005	property	DATE conversion follows DEFAULT_DATE_FORMATE property	DATE; DEFAULT_DATE_FORMATE	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	39	covered	No English change required.	When the DATE type is changed, the column data is converted according to the DEFAULT_DATE_FORMATE property.	none	Korean source spells DEFAULT_DATE_FORMATE; English preserves the identifier.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	41	50	S022-F02-02-U006	warning	column modify can cause data loss, DB load, replication DDL requirements, operation delay, and log growth	data loss; replication; DDL; logs	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	45	covered	No English change required.	column modify command can cause data loss... follow the DDL operation procedure... delay... increase in usage of the logs area.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	52	56	S022-F02-02-U007	warning	Memory-table modify creates copy table in 5.3.3 memory tablespace; 6.1.1 stores copy table in disk tablespace; iloader backup is recommended	5.3.3; 6.1.1; memory tablespace; disk tablespace; iloader	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	56	covered	No English change required.	if the table... is a memory table and... version is 5.3.3... copy table... in version 6.1.1... disk tablespace... backup... with an iloader operation.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	58	72	S022-F02-02-U008	example	book and t1 examples show ALTER TABLE MODIFY COLUMN, ERR-312EE, and tolerate data loss	ALTER TABLE book; CHAR(20); BIGINT; ERR-312EE; tolerate data loss; SYS_TBS_MEM_DATA	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	62	covered	No English change required.	Change the isbn column... ALTER TABLE book MODIFY COLUMN... ERR-312EE... tolerate data loss... C1 NUMERIC(10).	none	Legacy one-line table export is preserved in both files.
S022	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	74	78	S022-F02-02-U009	reference	SQL Reference Manual modify column reference	SQL Reference Manual; support.altibase.com; modify column	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	78	covered	No English change required.	refer to the modify column section in the SQL Reference Manual.	none	S022 direct inspection.
S022	faq/Home/02. 운영 및 관리/02-05. Datafile 을 추가한 이력 확인 방법__8454956.md	1	17	S022-F02-05-U001	metadata	title/source metadata and generated navigation	8454956; Datafile; 2025-08-06	FAQE/Home/02. Operation and Management/How to check the history of adding datafiles__16875969.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and generated navigation.	none	Export metadata and TOC are not technical procedure content.
