job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	1	11	S021-F02-01-U001	metadata	title/page_id/source metadata for Korean FAQ 02-01	12517478; FAQ; 2025-08-06	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	1	not_applicable	Excluded from technical coverage.	English target has its own translated front matter.	none	Export metadata is not technical content.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	13	15	S021-F02-01-U002	heading	FAQ title and source lines for Linux auto start script	Altibase; Linux; automatic start; 12517478	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	13	covered	No English change required.	# [Linux] How to register Altibase server process auto start script	none	S021 direct inspection.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	17	17	S021-F02-01-U003	navigation	Generated TOC for overview, Red Hat v7, SELinux, Red Hat v6	chkconfig; SELinux; systemctl; altibased.service	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	17	not_applicable	Excluded from technical coverage.	English target has equivalent generated navigation.	none	Generated Confluence navigation.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	19	31	S021-F02-01-U004	overview	Red Hat Linux auto start/stop scope, root registration, version split	Altibase v4; Red Hat Enterprise Linux 7; Red Hat Enterprise Linux 6; root	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	19	covered	No English change required.	Automatically start and stop the Altibase database... Register every item as the Linux root user... Red Hat family v7 or later and v6 or earlier.	none	S021 direct inspection.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	33	42	S021-F02-01-U005	boilerplate	Support portal, support center, and legal boilerplate	support.altibase.com; 02-2082-1114	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	33	not_applicable	Excluded from technical coverage.	English target omits Korean legal/support boilerplate.	none	Nontechnical boilerplate.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	44	54	S021-F02-01-U006	procedure	Red Hat v7 or later requires SELinux enabled state check and permissive mode	SELinux; enabled; permissive; Red Hat documentation	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	33	covered	No English change required.	Check the SELinux state. If SELinux is enabled, change the current mode to permissive... Changing SELinux states and modes.	none	English uses corresponding English Red Hat documentation URL.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	56	103	S021-F02-01-U007	configuration	altibased.service file path, systemd service body, item meanings, chmod 755	altibased.service; /usr/lib/systemd/system; LimitNOFILE=1048576; LimitNPROC=infinity; ExecStart; ExecStop; chmod 755	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	43	covered	No English change required.	File name altibased.service... Type=forking... LimitNOFILE=1048576... ExecStart=/etc/rc.d/init.d/altibase start... Main items... chmod 755.	none	S021 direct inspection.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	105	148	S021-F02-01-U008	configuration	/etc/rc.d/init.d/altibase start/stop script and environment file path	/etc/rc.d/init.d/altibase; altibase_user.env; server start; server stop; Usage: service altibase {start | stop}; chmod 755	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	93	covered	No English change required.	Create the auto start and stop script... . /home/altibase/altibase_home/conf/altibase_user.env... server start... server stop... chmod 755.	none	S021 direct inspection.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	150	181	S021-F02-01-U009	procedure	Create service symbolic link, enable/start/stop, and check status	/etc/systemd/system/multi-user.target.wants; ln -s; systemctl enable; systemctl start; systemctl stop; $ALTIBASE_HOME/trc; systemctl status	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	139	covered	No English change required.	The created altibased.service service file must exist as a symbolic link... systemctl enable/start/stop... check $ALTIBASE_HOME/trc... systemctl status.	none	S021 direct inspection.
S021	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	183	205	S021-F02-01-U010	command_block	Check SELinux status with sestatus	sestatus; SELinux status enabled; Current mode enforcing	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	172	covered	No English change required.	Check SELinux mode... sestatus... SELinux status enabled... Current mode enforcing.	none	S021 direct inspection.
