job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	1	17	S023-F03-01-U001	metadata	title/source metadata and generated navigation	9110676; replication conflict; 2025-08-07	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and generated navigation.	none	Export metadata and TOC are not technical procedure content.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	19	23	S023-F03-01-U002	overview	Document explains replication conflict causes and resolutions	replication conflict; causes; solutions	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	19	covered	No English change required.	This document describes the causes and solutions of replication conflicts.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	25	29	S023-F03-01-U003	definition	Conflict occurs when insert/update/delete are performed simultaneously for the same key value	insert; update; delete; same key	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	25	covered	No English change required.	A replication conflict occurs when insert/update/delete is executed on the same key value at the same time.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	31	31	S023-F03-01-U004	property	Insert conflict fails, logs to altibase_rp.log, and uses REPLICATION_INSERT_REPLACE policy	REPLICATION_INSERT_REPLACE; altibase_rp.log; insert conflict	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	31	covered	No English change required.	When an INSERT conflict occurs... written to altibase_rp.log... REPLICATION_INSERT_REPLACE=1... REPLICATION_INSERT_REPLACE=0.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	33	33	S023-F03-01-U005	property	Update conflict fails, logs to altibase_rp.log, and uses REPLICATION_UPDATE_REPLACE based on before image and PK state	REPLICATION_UPDATE_REPLACE; before image; primary key; altibase_rp.log	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	33	covered	No English change required.	When an UPDATE conflict occurs... REPLICATION_UPDATE_REPLACE... before image... primary key... update from 20 to 30.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	35	35	S023-F03-01-U006	behavior	Delete conflict fails and logs a conflict error message to altibase_rp.log	delete conflict; altibase_rp.log	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	35	covered	No English change required.	When a DELETE conflict occurs, the DELETE fails and a conflict error message is written to altibase_rp.log.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	37	41	S023-F03-01-U007	example	Server A and B insert key=1 before replication delivery, causing conflict	key=1; server A; server B	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	37	covered	No English change required.	After data with key=1 is inserted in server A... same key=1 data is inserted in server B... conflict occurs.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	43	47	S023-F03-01-U008	guidance	Best prevention is to avoid same-key insert/update/delete on both servers	same Key value; insert/update/delete	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	43	covered	No English change required.	The best way is to avoid insert/update/delete with the same Key value on both servers.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	49	49	S023-F03-01-U009	example	Sequence primary key can use odd values on one server and even values on the other to avoid conflict	Sequence; primary key; odd; even	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	49	covered	No English change required.	if the sequence is the primary key... odd numbers on one side and even numbers on the other server... no replication conflict.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	51	51	S023-F03-01-U010	guidance	Avoid bulk insert/update/delete in replicated workload	bulk insert; bulk update; bulk delete	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	51	covered	No English change required.	In addition, do not do bulk insert/update/delete.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	53	67	S023-F03-01-U011	behavior	User-Oriented Scheme resolves insert/delete as not reflected and update by REPLICATION_UPDATE_REPLACE	User-Oriented Scheme; REPLICATION_UPDATE_REPLACE=1; REPLICATION_UPDATE_REPLACE=0; Conflict Error Message	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	53	covered	No English change required.	User-Oriented Scheme... Insert conflict... not reflected... delete conflict... not reflected... REPLICATION_UPDATE_REPLACE=1... REPLICATION_UPDATE_REPLACE=0.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	69	81	S023-F03-01-U012	behavior	Master-slave Scheme handles conflicts according to master or slave declaration	Master-slave Scheme; master; slave; Insert conflict; Update conflict	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	67	covered	No English change required.	When declaring a replication object... as a master or as a slave... Master's processing method... Slave processing method...	none	English preserves the Korean source wording, including the repeated Insert conflict label in the source.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	83	85	S023-F03-01-U013	property	Timestamp-based Scheme requires REPLICATION_TIMESTAMP_RESOLUTION=1, timestamp columns on all target tables, and synchronized server time	REPLICATION_TIMESTAMP_RESOLUTION; timestamp column; server time	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	81	covered	No English change required.	After setting the REPLICATION_TIMESTAMP_RESOLUTION property value to 1... timestamp column must be added... time between both servers... set equally.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	87	101	S023-F03-01-U014	log_example	Conflict log path and insert conflict example with ERR-11058 and INSERT INTO TEST	$ALTIBASE_HOME/trc/altibase_rp.log; ERR-11058; INSERT INTO TEST	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	85	covered	No English change required.	When a conflict occurs... $ALTIBASE_HOME/trc/altibase_rp.log... Insert conflict... ERR-11058... INSERT INTO TEST.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	103	114	S023-F03-01-U015	log_example	Update conflict example with ERR-610f7, ERR-61000, and UPDATE TEST statement	ERR-610f7; ERR-61000; executeUpdate; UPDATE TEST	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	101	covered	No English change required.	update conflict... pre-change value... ERR-610f7... ERR-61000... UPDATE TEST SET C2.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md	116	124	S023-F03-01-U016	log_example	Delete conflict example with ERR-610f7 and DELETE FROM TEST statement	ERR-610f7; executeDelete; DELETE FROM TEST	FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	114	covered	No English change required.	delete conflict... pre-change value... ERR-610f7... executeDelete... DELETE FROM TEST.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	1	17	S023-F03-02-U001	metadata	title/source metadata and generated navigation	12517469; same IP; REPLICATION_ALLOW_DUPLICATE_HOSTS; 2025-08-07	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	1	not_applicable	Excluded from technical coverage.	English target has translated front matter and generated navigation.	none	Export metadata and TOC are not technical procedure content.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	19	35	S023-F03-02-U002	overview	Previous same-IP limitation, ERR-6110C example, and Altibase 6.5.1 property support	REPLICATION_ALLOW_DUPLICATE_HOSTS; Altibase 6.5.1; ERR-6110C; 192.168.1.145; 30300	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	19	covered	No English change required.	Altibase replication had a limitation... ERR-6110C... Starting from Altibase version 6.5.1, the REPLICATION_ALLOW_DUPLICATE_HOSTS property...	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	37	41	S023-F03-02-U003	version_condition	Applies to Altibase 6.5.1 or later	Altibase 6.5.1	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	37	covered	No English change required.	Altibase version 6.5.1 or later.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	47	59	S023-F03-02-U004	property	Check REPLICATION_ALLOW_DUPLICATE_HOSTS, whose default 0 disallows duplicate host information	REPLICATION_ALLOW_DUPLICATE_HOSTS; default 0; V$PROPERTY	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	47	covered	No English change required.	Check the value... default value... 0... SELECT NAME, VALUE1 FROM V$PROPERTY WHERE NAME = 'REPLICATION_ALLOW_DUPLICATE_HOSTS'.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	61	69	S023-F03-02-U005	procedure	Change REPLICATION_ALLOW_DUPLICATE_HOSTS from 0 to 1 with ALTER SYSTEM	ALTER SYSTEM SET REPLICATION_ALLOW_DUPLICATE_HOSTS = 1	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	61	covered	No English change required.	If the value... is 0, change it to 1... ALTER SYSTEM SET REPLICATION_ALLOW_DUPLICATE_HOSTS = 1.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	71	77	S023-F03-02-U006	procedure	Persist REPLICATION_ALLOW_DUPLICATE_HOSTS in $ALTIBASE_HOME/conf/altibase.properties	$ALTIBASE_HOME/conf; altibase.properties; REPLICATION_ALLOW_DUPLICATE_HOSTS = 1	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	71	covered	No English change required.	modify the property value in the altibase.properties file... cd $ALTIBASE_HOME/conf... REPLICATION_ALLOW_DUPLICATE_HOSTS = 1.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	79	93	S023-F03-02-U007	sql	After property change, REP1 and REP2 can be created with the same remote IP and port	CREATE REPLICATION REP1; CREATE REPLICATION REP2; 192.168.1.145; 30300	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	79	covered	No English change required.	Create one or more replication objects with the same host information... CREATE REPLICATION REP1... CREATE REPLICATION REP2... Create success.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	95	103	S023-F03-02-U008	sql	Host information is checked in SYSTEM_.SYS_REPL_HOSTS_	SYSTEM_.SYS_REPL_HOSTS_; REPLICATION_NAME; HOST_IP; PORT_NO; HOST_NO	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	95	covered	No English change required.	Host information... can be checked... SELECT REPLICATION_NAME, HOST_IP, PORT_NO FROM SYSTEM_.SYS_REPL_HOSTS_ ORDER BY HOST_NO.	none	S023 direct inspection.
S023	faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md	105	111	S023-F03-02-U009	reference	References Altibase 6.5.1 New Features Guide, General Reference, and manual download	Altibase 6.5.1 New Features Guide; General Reference; support.altibase.com	FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	105	covered	No English change required.	Altibase 6.5.1 New Features Guide... General Reference... Manual Download... support.altibase.com/en/manual... Github.	none	English uses corresponding English manual links.
