source_path	label	related_evidence_path	source_class	action	risk	notes
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	연결풀	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U002)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source; English target preserves the surrounding JEUS connection-pool procedure without inventing a URL.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	고급 선택사항	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U003)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source; English target preserves the surrounding JEUS advanced-options procedure without inventing a URL.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	File	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U004)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source line 859; English target keeps the Eclipse menu step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	New	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U005)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source; English target keeps the Eclipse menu step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	Project	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U006)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source; English target keeps the Eclipse menu step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	Web	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U007)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source line 859; English target keeps the Eclipse Web wizard step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	File	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U008)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source line 871; English target keeps the export step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	Export	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U009)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source; English target keeps the export step as plain procedure text.
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	Web	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D029-U010)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy UI hash label from Korean source line 871; English target keeps the Web WAR export step as plain procedure text.
DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	[ODBC	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D032-U004)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy hash label came from a bracketed ODBC identifier; English target preserves the ODBC identifier as configuration text, not as a link.
